type	latitude	longitude	altitude (m)	name
W	48.452659579	-4.407405853	89.1	Px1y1
W	48.452659579	-4.403114319	89.2	Px2y1
W	48.452659579	-4.398822784	90.9	Px3y1
W	48.452659579	-4.394531250	85.1	Px4y1
W	48.452659579	-4.390239716	85.9	Px5y1
W	48.452659579	-4.385948181	83.6	Px6y1
W	48.452659579	-4.381656647	98.0	Px7y1
W	48.452659579	-4.377365112	97.9	Px8y1
W	48.452659579	-4.373073578	93.0	Px9y1
W	48.452659579	-4.368782043	101.0	Px10y1
W	48.452659579	-4.364490509	116.5	Px11y1
W	48.452659579	-4.360198975	126.1	Px12y1
W	48.452659579	-4.355907440	122.6	Px13y1
W	48.452659579	-4.351615906	110.7	Px14y1
W	48.452659579	-4.347324371	119.6	Px15y1
W	48.452659579	-4.343032837	116.4	Px16y1
W	48.452659579	-4.338741302	112.0	Px17y1
W	48.452659579	-4.334449768	125.4	Px18y1
W	48.452659579	-4.330158234	123.8	Px19y1
W	48.452659579	-4.325866699	119.4	Px20y1
W	48.452659579	-4.321575165	124.6	Px21y1
W	48.452659579	-4.317283630	111.7	Px22y1
W	48.452659579	-4.312992096	86.6	Px23y1
W	48.452659579	-4.308700562	89.0	Px24y1
W	48.452659579	-4.304409027	75.3	Px25y1
W	48.452659579	-4.300117493	72.2	Px26y1
W	48.452659579	-4.295825958	97.6	Px27y1
W	48.452659579	-4.291534424	93.8	Px28y1
W	48.452659579	-4.287242889	86.8	Px29y1
W	48.452659579	-4.282951355	95.4	Px30y1
W	48.452659579	-4.278659821	88.7	Px31y1
W	48.449813188	-4.407405853	93.0	Px1y2
W	48.449813188	-4.403114319	89.8	Px2y2
W	48.449813188	-4.398822784	86.6	Px3y2
W	48.449813188	-4.394531250	88.1	Px4y2
W	48.449813188	-4.390239716	83.1	Px5y2
W	48.449813188	-4.385948181	88.2	Px6y2
W	48.449813188	-4.381656647	89.7	Px7y2
W	48.449813188	-4.377365112	98.9	Px8y2
W	48.449813188	-4.373073578	93.7	Px9y2
W	48.449813188	-4.368782043	88.7	Px10y2
W	48.449813188	-4.364490509	89.1	Px11y2
W	48.449813188	-4.360198975	107.1	Px12y2
W	48.449813188	-4.355907440	104.8	Px13y2
W	48.449813188	-4.351615906	107.7	Px14y2
W	48.449813188	-4.347324371	112.4	Px15y2
W	48.449813188	-4.343032837	106.0	Px16y2
W	48.449813188	-4.338741302	104.9	Px17y2
W	48.449813188	-4.334449768	121.6	Px18y2
W	48.449813188	-4.330158234	121.7	Px19y2
W	48.449813188	-4.325866699	120.8	Px20y2
W	48.449813188	-4.321575165	110.4	Px21y2
W	48.449813188	-4.317283630	95.2	Px22y2
W	48.449813188	-4.312992096	82.9	Px23y2
W	48.449813188	-4.308700562	75.4	Px24y2
W	48.449813188	-4.304409027	69.4	Px25y2
W	48.449813188	-4.300117493	58.4	Px26y2
W	48.449813188	-4.295825958	89.0	Px27y2
W	48.449813188	-4.291534424	89.7	Px28y2
W	48.449813188	-4.287242889	60.1	Px29y2
W	48.449813188	-4.282951355	79.5	Px30y2
W	48.449813188	-4.278659821	81.2	Px31y2
W	48.446966637	-4.407405853	94.9	Px1y3
W	48.446966637	-4.403114319	86.9	Px2y3
W	48.446966637	-4.398822784	90.9	Px3y3
W	48.446966637	-4.394531250	83.7	Px4y3
W	48.446966637	-4.390239716	78.3	Px5y3
W	48.446966637	-4.385948181	84.5	Px6y3
W	48.446966637	-4.381656647	89.2	Px7y3
W	48.446966637	-4.377365112	90.9	Px8y3
W	48.446966637	-4.373073578	86.1	Px9y3
W	48.446966637	-4.368782043	80.4	Px10y3
W	48.446966637	-4.364490509	81.0	Px11y3
W	48.446966637	-4.360198975	92.2	Px12y3
W	48.446966637	-4.355907440	97.0	Px13y3
W	48.446966637	-4.351615906	105.1	Px14y3
W	48.446966637	-4.347324371	98.1	Px15y3
W	48.446966637	-4.343032837	100.9	Px16y3
W	48.446966637	-4.338741302	103.2	Px17y3
W	48.446966637	-4.334449768	101.1	Px18y3
W	48.446966637	-4.330158234	108.6	Px19y3
W	48.446966637	-4.325866699	109.2	Px20y3
W	48.446966637	-4.321575165	95.4	Px21y3
W	48.446966637	-4.317283630	76.5	Px22y3
W	48.446966637	-4.312992096	64.1	Px23y3
W	48.446966637	-4.308700562	57.7	Px24y3
W	48.446966637	-4.304409027	58.5	Px25y3
W	48.446966637	-4.300117493	59.6	Px26y3
W	48.446966637	-4.295825958	67.5	Px27y3
W	48.446966637	-4.291534424	41.8	Px28y3
W	48.446966637	-4.287242889	33.1	Px29y3
W	48.446966637	-4.282951355	57.1	Px30y3
W	48.446966637	-4.278659821	62.3	Px31y3
W	48.444119927	-4.407405853	93.0	Px1y4
W	48.444119927	-4.403114319	86.0	Px2y4
W	48.444119927	-4.398822784	84.2	Px3y4
W	48.444119927	-4.394531250	87.4	Px4y4
W	48.444119927	-4.390239716	75.0	Px5y4
W	48.444119927	-4.385948181	85.9	Px6y4
W	48.444119927	-4.381656647	90.8	Px7y4
W	48.444119927	-4.377365112	81.3	Px8y4
W	48.444119927	-4.373073578	74.5	Px9y4
W	48.444119927	-4.368782043	76.0	Px10y4
W	48.444119927	-4.364490509	73.0	Px11y4
W	48.444119927	-4.360198975	84.3	Px12y4
W	48.444119927	-4.355907440	86.6	Px13y4
W	48.444119927	-4.351615906	91.2	Px14y4
W	48.444119927	-4.347324371	97.2	Px15y4
W	48.444119927	-4.343032837	100.4	Px16y4
W	48.444119927	-4.338741302	101.5	Px17y4
W	48.444119927	-4.334449768	100.2	Px18y4
W	48.444119927	-4.330158234	101.0	Px19y4
W	48.444119927	-4.325866699	100.7	Px20y4
W	48.444119927	-4.321575165	97.2	Px21y4
W	48.444119927	-4.317283630	94.1	Px22y4
W	48.444119927	-4.312992096	85.2	Px23y4
W	48.444119927	-4.308700562	84.0	Px24y4
W	48.444119927	-4.304409027	76.7	Px25y4
W	48.444119927	-4.300117493	62.8	Px26y4
W	48.444119927	-4.295825958	49.7	Px27y4
W	48.444119927	-4.291534424	51.7	Px28y4
W	48.444119927	-4.287242889	34.3	Px29y4
W	48.444119927	-4.282951355	50.4	Px30y4
W	48.444119927	-4.278659821	38.0	Px31y4
W	48.441273057	-4.407405853	91.1	Px1y5
W	48.441273057	-4.403114319	91.0	Px2y5
W	48.441273057	-4.398822784	86.9	Px3y5
W	48.441273057	-4.394531250	88.5	Px4y5
W	48.441273057	-4.390239716	84.1	Px5y5
W	48.441273057	-4.385948181	75.5	Px6y5
W	48.441273057	-4.381656647	84.0	Px7y5
W	48.441273057	-4.377365112	82.3	Px8y5
W	48.441273057	-4.373073578	67.6	Px9y5
W	48.441273057	-4.368782043	71.6	Px10y5
W	48.441273057	-4.364490509	80.0	Px11y5
W	48.441273057	-4.360198975	85.2	Px12y5
W	48.441273057	-4.355907440	90.0	Px13y5
W	48.441273057	-4.351615906	93.1	Px14y5
W	48.441273057	-4.347324371	86.7	Px15y5
W	48.441273057	-4.343032837	88.5	Px16y5
W	48.441273057	-4.338741302	86.7	Px17y5
W	48.441273057	-4.334449768	92.6	Px18y5
W	48.441273057	-4.330158234	93.1	Px19y5
W	48.441273057	-4.325866699	100.7	Px20y5
W	48.441273057	-4.321575165	107.0	Px21y5
W	48.441273057	-4.317283630	101.9	Px22y5
W	48.441273057	-4.312992096	96.7	Px23y5
W	48.441273057	-4.308700562	92.8	Px24y5
W	48.441273057	-4.304409027	80.5	Px25y5
W	48.441273057	-4.300117493	71.3	Px26y5
W	48.441273057	-4.295825958	80.9	Px27y5
W	48.441273057	-4.291534424	80.7	Px28y5
W	48.441273057	-4.287242889	62.5	Px29y5
W	48.441273057	-4.282951355	10.8	Px30y5
W	48.441273057	-4.278659821	6.7	Px31y5
W	48.438426027	-4.407405853	89.7	Px1y6
W	48.438426027	-4.403114319	92.7	Px2y6
W	48.438426027	-4.398822784	93.1	Px3y6
W	48.438426027	-4.394531250	84.2	Px4y6
W	48.438426027	-4.390239716	87.0	Px5y6
W	48.438426027	-4.385948181	77.7	Px6y6
W	48.438426027	-4.381656647	66.1	Px7y6
W	48.438426027	-4.377365112	64.3	Px8y6
W	48.438426027	-4.373073578	45.3	Px9y6
W	48.438426027	-4.368782043	53.4	Px10y6
W	48.438426027	-4.364490509	62.0	Px11y6
W	48.438426027	-4.360198975	81.0	Px12y6
W	48.438426027	-4.355907440	94.9	Px13y6
W	48.438426027	-4.351615906	90.5	Px14y6
W	48.438426027	-4.347324371	80.3	Px15y6
W	48.438426027	-4.343032837	80.1	Px16y6
W	48.438426027	-4.338741302	74.6	Px17y6
W	48.438426027	-4.334449768	83.3	Px18y6
W	48.438426027	-4.330158234	98.0	Px19y6
W	48.438426027	-4.325866699	109.0	Px20y6
W	48.438426027	-4.321575165	102.9	Px21y6
W	48.438426027	-4.317283630	83.0	Px22y6
W	48.438426027	-4.312992096	81.7	Px23y6
W	48.438426027	-4.308700562	76.7	Px24y6
W	48.438426027	-4.304409027	83.6	Px25y6
W	48.438426027	-4.300117493	91.8	Px26y6
W	48.438426027	-4.295825958	83.7	Px27y6
W	48.438426027	-4.291534424	64.6	Px28y6
W	48.438426027	-4.287242889	27.2	Px29y6
W	48.438426027	-4.282951355	10.8	Px30y6
W	48.438426027	-4.278659821	4.1	Px31y6
W	48.435578838	-4.407405853	96.3	Px1y7
W	48.435578838	-4.403114319	92.3	Px2y7
W	48.435578838	-4.398822784	93.1	Px3y7
W	48.435578838	-4.394531250	77.1	Px4y7
W	48.435578838	-4.390239716	74.3	Px5y7
W	48.435578838	-4.385948181	74.4	Px6y7
W	48.435578838	-4.381656647	58.9	Px7y7
W	48.435578838	-4.377365112	43.0	Px8y7
W	48.435578838	-4.373073578	55.9	Px9y7
W	48.435578838	-4.368782043	66.6	Px10y7
W	48.435578838	-4.364490509	82.2	Px11y7
W	48.435578838	-4.360198975	85.3	Px12y7
W	48.435578838	-4.355907440	83.9	Px13y7
W	48.435578838	-4.351615906	90.7	Px14y7
W	48.435578838	-4.347324371	80.5	Px15y7
W	48.435578838	-4.343032837	68.3	Px16y7
W	48.435578838	-4.338741302	71.1	Px17y7
W	48.435578838	-4.334449768	87.0	Px18y7
W	48.435578838	-4.330158234	107.3	Px19y7
W	48.435578838	-4.325866699	101.3	Px20y7
W	48.435578838	-4.321575165	84.2	Px21y7
W	48.435578838	-4.317283630	62.6	Px22y7
W	48.435578838	-4.312992096	70.6	Px23y7
W	48.435578838	-4.308700562	84.1	Px24y7
W	48.435578838	-4.304409027	82.5	Px25y7
W	48.435578838	-4.300117493	89.5	Px26y7
W	48.435578838	-4.295825958	60.3	Px27y7
W	48.435578838	-4.291534424	21.2	Px28y7
W	48.435578838	-4.287242889	1.1	Px29y7
W	48.435578838	-4.282951355	-0.3	Px30y7
W	48.435578838	-4.278659821	8.5	Px31y7
W	48.432731489	-4.407405853	79.2	Px1y8
W	48.432731489	-4.403114319	77.5	Px2y8
W	48.432731489	-4.398822784	79.9	Px3y8
W	48.432731489	-4.394531250	79.6	Px4y8
W	48.432731489	-4.390239716	74.0	Px5y8
W	48.432731489	-4.385948181	64.0	Px6y8
W	48.432731489	-4.381656647	53.3	Px7y8
W	48.432731489	-4.377365112	33.4	Px8y8
W	48.432731489	-4.373073578	61.9	Px9y8
W	48.432731489	-4.368782043	71.5	Px10y8
W	48.432731489	-4.364490509	72.9	Px11y8
W	48.432731489	-4.360198975	81.6	Px12y8
W	48.432731489	-4.355907440	84.7	Px13y8
W	48.432731489	-4.351615906	90.2	Px14y8
W	48.432731489	-4.347324371	84.3	Px15y8
W	48.432731489	-4.343032837	79.2	Px16y8
W	48.432731489	-4.338741302	80.7	Px17y8
W	48.432731489	-4.334449768	101.0	Px18y8
W	48.432731489	-4.330158234	105.0	Px19y8
W	48.432731489	-4.325866699	103.8	Px20y8
W	48.432731489	-4.321575165	79.5	Px21y8
W	48.432731489	-4.317283630	80.8	Px22y8
W	48.432731489	-4.312992096	63.5	Px23y8
W	48.432731489	-4.308700562	53.2	Px24y8
W	48.432731489	-4.304409027	56.9	Px25y8
W	48.432731489	-4.300117493	50.5	Px26y8
W	48.432731489	-4.295825958	14.8	Px27y8
W	48.432731489	-4.291534424	0.9	Px28y8
W	48.432731489	-4.287242889	4.0	Px29y8
W	48.432731489	-4.282951355	1.1	Px30y8
W	48.432731489	-4.278659821	29.0	Px31y8
W	48.429883981	-4.407405853	72.4	Px1y9
W	48.429883981	-4.403114319	73.0	Px2y9
W	48.429883981	-4.398822784	76.2	Px3y9
W	48.429883981	-4.394531250	78.3	Px4y9
W	48.429883981	-4.390239716	68.1	Px5y9
