type	latitude	longitude	altitude (m)	name
W	16.384708649	-61.840667725	0.0	Px1y1
W	16.384708649	-61.820068359	0.0	Px2y1
W	16.384708649	-61.799468994	0.0	Px3y1
W	16.384708649	-61.778869629	0.0	Px4y1
W	16.384708649	-61.758270264	0.0	Px5y1
W	16.384708649	-61.737670898	0.0	Px6y1
W	16.384708649	-61.717071533	0.0	Px7y1
W	16.384708649	-61.696472168	0.0	Px8y1
W	16.384708649	-61.675872803	0.0	Px9y1
W	16.384708649	-61.655273438	0.0	Px10y1
W	16.384708649	-61.634674072	0.0	Px11y1
W	16.384708649	-61.614074707	0.0	Px12y1
W	16.384708649	-61.593475342	0.0	Px13y1
W	16.384708649	-61.572875977	0.0	Px14y1
W	16.384708649	-61.552276611	0.0	Px15y1
W	16.384708649	-61.531677246	0.0	Px16y1
W	16.384708649	-61.511077881	0.0	Px17y1
W	16.384708649	-61.490478516	21.3	Px18y1
W	16.384708649	-61.469879150	27.9	Px19y1
W	16.384708649	-61.449279785	42.7	Px20y1
W	16.384708649	-61.428680420	38.3	Px21y1
W	16.384708649	-61.408081055	51.8	Px22y1
W	16.384708649	-61.387481689	0.0	Px23y1
W	16.384708649	-61.366882324	0.0	Px24y1
W	16.384708649	-61.346282959	0.0	Px25y1
W	16.384708649	-61.325683594	0.0	Px26y1
W	16.364944837	-61.840667725	0.0	Px1y2
W	16.364944837	-61.820068359	0.0	Px2y2
W	16.364944837	-61.799468994	0.0	Px3y2
W	16.364944837	-61.778869629	5.7	Px4y2
W	16.364944837	-61.758270264	0.0	Px5y2
W	16.364944837	-61.737670898	0.0	Px6y2
W	16.364944837	-61.717071533	0.0	Px7y2
W	16.364944837	-61.696472168	0.0	Px8y2
W	16.364944837	-61.675872803	0.0	Px9y2
W	16.364944837	-61.655273438	0.0	Px10y2
W	16.364944837	-61.634674072	0.0	Px11y2
W	16.364944837	-61.614074707	0.0	Px12y2
W	16.364944837	-61.593475342	0.0	Px13y2
W	16.364944837	-61.572875977	0.0	Px14y2
W	16.364944837	-61.552276611	0.0	Px15y2
W	16.364944837	-61.531677246	0.0	Px16y2
W	16.364944837	-61.511077881	0.0	Px17y2
W	16.364944837	-61.490478516	4.2	Px18y2
W	16.364944837	-61.469879150	10.4	Px19y2
W	16.364944837	-61.449279785	43.6	Px20y2
W	16.364944837	-61.428680420	55.4	Px21y2
W	16.364944837	-61.408081055	62.4	Px22y2
W	16.364944837	-61.387481689	0.0	Px23y2
W	16.364944837	-61.366882324	0.0	Px24y2
W	16.364944837	-61.346282959	0.0	Px25y2
W	16.364944837	-61.325683594	0.0	Px26y2
W	16.345179022	-61.840667725	0.0	Px1y3
W	16.345179022	-61.820068359	0.0	Px2y3
W	16.345179022	-61.799468994	0.0	Px3y3
W	16.345179022	-61.778869629	4.9	Px4y3
W	16.345179022	-61.758270264	76.7	Px5y3
W	16.345179022	-61.737670898	65.6	Px6y3
W	16.345179022	-61.717071533	6.4	Px7y3
W	16.345179022	-61.696472168	0.0	Px8y3
W	16.345179022	-61.675872803	3.9	Px9y3
W	16.345179022	-61.655273438	0.0	Px10y3
W	16.345179022	-61.634674072	0.0	Px11y3
W	16.345179022	-61.614074707	0.0	Px12y3
W	16.345179022	-61.593475342	4.5	Px13y3
W	16.345179022	-61.572875977	0.0	Px14y3
W	16.345179022	-61.552276611	0.0	Px15y3
W	16.345179022	-61.531677246	0.0	Px16y3
W	16.345179022	-61.511077881	0.0	Px17y3
W	16.345179022	-61.490478516	17.4	Px18y3
W	16.345179022	-61.469879150	4.3	Px19y3
W	16.345179022	-61.449279785	4.5	Px20y3
W	16.345179022	-61.428680420	39.5	Px21y3
W	16.345179022	-61.408081055	57.3	Px22y3
W	16.345179022	-61.387481689	51.5	Px23y3
W	16.345179022	-61.366882324	0.0	Px24y3
W	16.345179022	-61.346282959	0.0	Px25y3
W	16.345179022	-61.325683594	0.0	Px26y3
W	16.325411208	-61.840667725	0.0	Px1y4
W	16.325411208	-61.820068359	0.0	Px2y4
W	16.325411208	-61.799468994	0.0	Px3y4
W	16.325411208	-61.778869629	164.1	Px4y4
W	16.325411208	-61.758270264	276.7	Px5y4
W	16.325411208	-61.737670898	104.9	Px6y4
W	16.325411208	-61.717071533	54.1	Px7y4
W	16.325411208	-61.696472168	36.0	Px8y4
W	16.325411208	-61.675872803	4.6	Px9y4
W	16.325411208	-61.655273438	0.0	Px10y4
W	16.325411208	-61.634674072	0.0	Px11y4
W	16.325411208	-61.614074707	0.0	Px12y4
W	16.325411208	-61.593475342	0.0	Px13y4
W	16.325411208	-61.572875977	0.0	Px14y4
W	16.325411208	-61.552276611	0.0	Px15y4
W	16.325411208	-61.531677246	7.0	Px16y4
W	16.325411208	-61.511077881	11.4	Px17y4
W	16.325411208	-61.490478516	30.1	Px18y4
W	16.325411208	-61.469879150	6.5	Px19y4
W	16.325411208	-61.449279785	22.3	Px20y4
W	16.325411208	-61.428680420	12.0	Px21y4
W	16.325411208	-61.408081055	19.3	Px22y4
W	16.325411208	-61.387481689	12.4	Px23y4
W	16.325411208	-61.366882324	16.9	Px24y4
W	16.325411208	-61.346282959	18.0	Px25y4
W	16.325411208	-61.325683594	25.5	Px26y4
W	16.305641396	-61.840667725	0.0	Px1y5
W	16.305641396	-61.820068359	0.0	Px2y5
W	16.305641396	-61.799468994	0.0	Px3y5
W	16.305641396	-61.778869629	269.7	Px4y5
W	16.305641396	-61.758270264	467.2	Px5y5
W	16.305641396	-61.737670898	356.8	Px6y5
W	16.305641396	-61.717071533	185.2	Px7y5
W	16.305641396	-61.696472168	85.4	Px8y5
W	16.305641396	-61.675872803	21.1	Px9y5
W	16.305641396	-61.655273438	8.0	Px10y5
W	16.305641396	-61.634674072	8.6	Px11y5
W	16.305641396	-61.614074707	0.0	Px12y5
W	16.305641396	-61.593475342	0.0	Px13y5
W	16.305641396	-61.572875977	0.0	Px14y5
W	16.305641396	-61.552276611	0.0	Px15y5
W	16.305641396	-61.531677246	14.4	Px16y5
W	16.305641396	-61.511077881	13.3	Px17y5
W	16.305641396	-61.490478516	27.4	Px18y5
W	16.305641396	-61.469879150	46.7	Px19y5
W	16.305641396	-61.449279785	63.0	Px20y5
W	16.305641396	-61.428680420	53.3	Px21y5
W	16.305641396	-61.408081055	34.1	Px22y5
W	16.305641396	-61.387481689	18.5	Px23y5
W	16.305641396	-61.366882324	22.8	Px24y5
W	16.305641396	-61.346282959	22.5	Px25y5
W	16.305641396	-61.325683594	33.6	Px26y5
