type	latitude	longitude	altitude (m)	name
W	16.615137800	-61.940917969	0.0	Px1y1
W	16.615137800	-61.899719238	0.0	Px2y1
W	16.615137800	-61.858520508	0.0	Px3y1
W	16.615137800	-61.817321777	0.0	Px4y1
W	16.615137800	-61.776123047	0.0	Px5y1
W	16.615137800	-61.734924316	0.0	Px6y1
W	16.615137800	-61.693725586	0.0	Px7y1
W	16.615137800	-61.652526855	0.0	Px8y1
W	16.615137800	-61.611328125	0.0	Px9y1
W	16.615137800	-61.570129395	0.0	Px10y1
W	16.615137800	-61.528930664	0.0	Px11y1
W	16.615137800	-61.487731934	0.0	Px12y1
W	16.615137800	-61.446533203	0.0	Px13y1
W	16.615137800	-61.405334473	0.0	Px14y1
W	16.615137800	-61.364135742	0.0	Px15y1
W	16.615137800	-61.322937012	0.0	Px16y1
W	16.615137800	-61.281738281	0.0	Px17y1
W	16.615137800	-61.240539551	0.0	Px18y1
W	16.615137800	-61.199340820	0.0	Px19y1
W	16.615137800	-61.158142090	0.0	Px20y1
W	16.615137800	-61.116943359	0.0	Px21y1
W	16.615137800	-61.075744629	0.0	Px22y1
W	16.615137800	-61.034545898	0.0	Px23y1
W	16.615137800	-60.993347168	0.0	Px24y1
W	16.615137800	-60.952148438	0.0	Px25y1
W	16.615137800	-60.910949707	0.0	Px26y1
W	16.575655182	-61.940917969	0.0	Px1y2
W	16.575655182	-61.899719238	0.0	Px2y2
W	16.575655182	-61.858520508	0.0	Px3y2
W	16.575655182	-61.817321777	0.0	Px4y2
W	16.575655182	-61.776123047	0.0	Px5y2
W	16.575655182	-61.734924316	0.0	Px6y2
W	16.575655182	-61.693725586	0.0	Px7y2
W	16.575655182	-61.652526855	0.0	Px8y2
W	16.575655182	-61.611328125	0.0	Px9y2
W	16.575655182	-61.570129395	0.0	Px10y2
W	16.575655182	-61.528930664	0.0	Px11y2
W	16.575655182	-61.487731934	0.0	Px12y2
W	16.575655182	-61.446533203	0.0	Px13y2
W	16.575655182	-61.405334473	0.0	Px14y2
W	16.575655182	-61.364135742	0.0	Px15y2
W	16.575655182	-61.322937012	0.0	Px16y2
W	16.575655182	-61.281738281	0.0	Px17y2
W	16.575655182	-61.240539551	0.0	Px18y2
W	16.575655182	-61.199340820	0.0	Px19y2
W	16.575655182	-61.158142090	0.0	Px20y2
W	16.575655182	-61.116943359	0.0	Px21y2
W	16.575655182	-61.075744629	0.0	Px22y2
W	16.575655182	-61.034545898	0.0	Px23y2
W	16.575655182	-60.993347168	0.0	Px24y2
W	16.575655182	-60.952148438	0.0	Px25y2
W	16.575655182	-60.910949707	0.0	Px26y2
W	16.536164464	-61.940917969	0.0	Px1y3
W	16.536164464	-61.899719238	0.0	Px2y3
W	16.536164464	-61.858520508	0.0	Px3y3
W	16.536164464	-61.817321777	0.0	Px4y3
W	16.536164464	-61.776123047	0.0	Px5y3
W	16.536164464	-61.734924316	0.0	Px6y3
W	16.536164464	-61.693725586	0.0	Px7y3
W	16.536164464	-61.652526855	0.0	Px8y3
W	16.536164464	-61.611328125	0.0	Px9y3
W	16.536164464	-61.570129395	0.0	Px10y3
W	16.536164464	-61.528930664	0.0	Px11y3
W	16.536164464	-61.487731934	0.0	Px12y3
W	16.536164464	-61.446533203	0.0	Px13y3
W	16.536164464	-61.405334473	0.0	Px14y3
W	16.536164464	-61.364135742	0.0	Px15y3
W	16.536164464	-61.322937012	0.0	Px16y3
W	16.536164464	-61.281738281	0.0	Px17y3
W	16.536164464	-61.240539551	0.0	Px18y3
W	16.536164464	-61.199340820	0.0	Px19y3
W	16.536164464	-61.158142090	0.0	Px20y3
W	16.536164464	-61.116943359	0.0	Px21y3
W	16.536164464	-61.075744629	0.0	Px22y3
W	16.536164464	-61.034545898	0.0	Px23y3
W	16.536164464	-60.993347168	0.0	Px24y3
W	16.536164464	-60.952148438	0.0	Px25y3
W	16.536164464	-60.910949707	0.0	Px26y3
W	16.496665663	-61.940917969	0.0	Px1y4
W	16.496665663	-61.899719238	0.0	Px2y4
W	16.496665663	-61.858520508	0.0	Px3y4
W	16.496665663	-61.817321777	0.0	Px4y4
W	16.496665663	-61.776123047	0.0	Px5y4
W	16.496665663	-61.734924316	0.0	Px6y4
W	16.496665663	-61.693725586	0.0	Px7y4
W	16.496665663	-61.652526855	0.0	Px8y4
W	16.496665663	-61.611328125	0.0	Px9y4
W	16.496665663	-61.570129395	0.0	Px10y4
W	16.496665663	-61.528930664	0.0	Px11y4
W	16.496665663	-61.487731934	0.0	Px12y4
W	16.496665663	-61.446533203	48.8	Px13y4
W	16.496665663	-61.405334473	0.0	Px14y4
W	16.496665663	-61.364135742	0.0	Px15y4
W	16.496665663	-61.322937012	0.0	Px16y4
W	16.496665663	-61.281738281	0.0	Px17y4
W	16.496665663	-61.240539551	0.0	Px18y4
W	16.496665663	-61.199340820	0.0	Px19y4
