type	latitude	longitude	altitude (m)	name
W	16.099092799	-16.520175934	0.0	Px1y1
W	16.099092799	-16.515026093	0.0	Px2y1
W	16.099092799	-16.509876251	5.0	Px3y1
W	16.099092799	-16.504726410	2.6	Px4y1
W	16.099092799	-16.499576569	4.0	Px5y1
W	16.099092799	-16.494426727	3.4	Px6y1
W	16.099092799	-16.489276886	3.0	Px7y1
W	16.099092799	-16.484127045	3.9	Px8y1
W	16.099092799	-16.478977203	2.3	Px9y1
W	16.099092799	-16.473827362	2.4	Px10y1
W	16.099092799	-16.468677521	4.3	Px11y1
W	16.099092799	-16.463527679	1.4	Px12y1
W	16.099092799	-16.458377838	1.1	Px13y1
W	16.099092799	-16.453227997	3.7	Px14y1
W	16.099092799	-16.448078156	1.3	Px15y1
W	16.099092799	-16.442928314	3.5	Px16y1
W	16.099092799	-16.437778473	3.0	Px17y1
W	16.099092799	-16.432628632	2.1	Px18y1
W	16.099092799	-16.427478790	3.9	Px19y1
W	16.099092799	-16.422328949	4.1	Px20y1
W	16.099092799	-16.417179108	3.0	Px21y1
W	16.099092799	-16.412029266	3.0	Px22y1
W	16.099092799	-16.406879425	4.1	Px23y1
W	16.099092799	-16.401729584	5.0	Px24y1
W	16.099092799	-16.396579742	0.5	Px25y1
W	16.099092799	-16.391429901	1.9	Px26y1
W	16.094144855	-16.520175934	0.0	Px1y2
W	16.094144855	-16.515026093	0.0	Px2y2
W	16.094144855	-16.509876251	2.5	Px3y2
W	16.094144855	-16.504726410	2.7	Px4y2
W	16.094144855	-16.499576569	3.5	Px5y2
W	16.094144855	-16.494426727	3.7	Px6y2
W	16.094144855	-16.489276886	3.1	Px7y2
W	16.094144855	-16.484127045	3.0	Px8y2
W	16.094144855	-16.478977203	2.8	Px9y2
W	16.094144855	-16.473827362	2.6	Px10y2
W	16.094144855	-16.468677521	2.6	Px11y2
W	16.094144855	-16.463527679	1.7	Px12y2
W	16.094144855	-16.458377838	3.0	Px13y2
W	16.094144855	-16.453227997	2.1	Px14y2
W	16.094144855	-16.448078156	0.0	Px15y2
W	16.094144855	-16.442928314	3.0	Px16y2
W	16.094144855	-16.437778473	2.7	Px17y2
W	16.094144855	-16.432628632	1.7	Px18y2
W	16.094144855	-16.427478790	3.0	Px19y2
W	16.094144855	-16.422328949	2.8	Px20y2
W	16.094144855	-16.417179108	2.4	Px21y2
W	16.094144855	-16.412029266	3.0	Px22y2
W	16.094144855	-16.406879425	3.0	Px23y2
W	16.094144855	-16.401729584	2.1	Px24y2
W	16.094144855	-16.396579742	2.9	Px25y2
W	16.094144855	-16.391429901	3.0	Px26y2
W	16.089196787	-16.520175934	0.0	Px1y3
