BW    ,SF,PS ,SNR,BER      ,RSSI        ,ToA      ,BER,RSSI,ToA,C0  ,C1  ,C2  ,L
125000,8 ,90 ,-10,0.0000002,-127.0309002,0.0741382,0  ,65  ,6  ,0.50,0.50,0.00,1
125000,8 ,90 ,0  ,0.0000002,-117.0309002,0.0741382,0  ,86  ,6  ,0.50,0.50,0.00,1
125000,8 ,110,-40,0.0505682,-157.0309002,0.0823302,72 ,0   ,7  ,0.00,0.00,1.00,2
125000,8 ,110,-30,0.0485232,-147.0309002,0.0823302,69 ,21  ,7  ,0.00,0.00,1.00,2
125000,8 ,110,-20,0.0456822,-137.0309002,0.0823302,65 ,43  ,7  ,0.00,0.00,1.00,2
125000,8 ,110,-10,0.0000002,-127.0309002,0.0823302,0  ,65  ,7  ,0.50,0.50,0.00,1
125000,8 ,110,0  ,0.0000002,-117.0309002,0.0823302,0  ,86  ,7  ,0.50,0.50,0.00,1
125000,9 ,10 ,-40,0.0433332,-157.0309002,0.0991232,61 ,0   ,9  ,0.00,0.00,1.00,2
125000,9 ,10 ,-30,0.0400002,-147.0309002,0.0991232,57 ,21  ,9  ,0.00,0.00,1.00,2
125000,9 ,10 ,-20,0.0433332,-137.0309002,0.0991232,61 ,43  ,9  ,0.00,0.00,1.00,2
125000,9 ,10 ,-10,0.0000002,-127.0309002,0.0991232,0  ,65  ,9  ,0.50,0.50,0.00,1
125000,9 ,10 ,0  ,0.0000002,-117.0309002,0.0991232,0  ,86  ,9  ,0.50,0.50,0.00,1
125000,9 ,30 ,-40,0.0459262,-157.0309002,0.0991232,65 ,0   ,9  ,0.00,0.00,1.00,2
125000,9 ,30 ,-30,0.0529632,-147.0309002,0.0991232,75 ,21  ,9  ,0.00,0.00,1.00,2
125000,9 ,30 ,-20,0.0329632,-137.0309002,0.0991232,47 ,43  ,9  ,0.00,0.00,1.00,2
125000,9 ,30 ,-10,0.0000002,-127.0309002,0.0991232,0  ,65  ,9  ,0.50,0.50,0.00,1
125000,9 ,30 ,0  ,0.0000002,-117.0309002,0.0991232,0  ,86  ,9  ,0.50,0.50,0.00,1
125000,9 ,50 ,-40,0.0471112,-157.0309002,0.1155072,67 ,0   ,10 ,0.00,0.00,1.00,2
125000,9 ,50 ,-30,0.0495562,-147.0309002,0.1155072,70 ,21  ,10 ,0.00,0.00,1.00,2
125000,9 ,50 ,-20,0.0324442,-137.0309002,0.1155072,46 ,43  ,10 ,0.00,0.00,1.00,2
125000,9 ,50 ,-10,0.0000002,-127.0309002,0.1155072,0  ,65  ,10 ,0.50,0.50,0.00,1
125000,9 ,50 ,0  ,0.0000002,-117.0309002,0.1155072,0  ,86  ,10 ,0.50,0.50,0.00,1
125000,9 ,70 ,-40,0.0463492,-157.0309002,0.1318912,66 ,0   ,12 ,0.00,0.00,1.00,2
125000,9 ,70 ,-30,0.0482542,-147.0309002,0.1318912,68 ,21  ,12 ,0.00,0.00,1.00,2
125000,9 ,70 ,-20,0.0276192,-137.0309002,0.1318912,39 ,43  ,12 ,0.00,0.00,1.00,2
125000,9 ,70 ,-10,0.0000002,-127.0309002,0.1318912,0  ,65  ,12 ,0.50,0.50,0.00,1
125000,9 ,70 ,0  ,0.0000002,-117.0309002,0.1318912,0  ,86  ,12 ,0.50,0.50,0.00,1
125000,9 ,90 ,-40,0.0512352,-157.0309002,0.1318912,73 ,0   ,12 ,0.00,0.00,1.00,2
125000,9 ,90 ,-30,0.0486422,-147.0309002,0.1318912,69 ,21  ,12 ,0.00,0.00,1.00,2
125000,9 ,90 ,-20,0.0286422,-137.0309002,0.1318912,40 ,43  ,12 ,0.00,0.00,1.00,2
125000,9 ,90 ,-10,0.0000002,-127.0309002,0.1318912,0  ,65  ,12 ,0.50,0.50,0.00,1
125000,9 ,90 ,0  ,0.0000002,-117.0309002,0.1318912,0  ,86  ,12 ,0.50,0.50,0.00,1
125000,9 ,110,-40,0.0505052,-157.0309002,0.1482752,72 ,0   ,13 ,0.00,0.00,1.00,2
125000,9 ,110,-30,0.0498992,-147.0309002,0.1482752,71 ,21  ,13 ,0.00,0.00,1.00,2
125000,9 ,110,-20,0.0297982,-137.0309002,0.1482752,42 ,43  ,13 ,0.00,0.00,1.00,2
125000,9 ,110,-10,0.0000002,-127.0309002,0.1482752,0  ,65  ,13 ,0.50,0.50,0.00,1
125000,9 ,110,0  ,0.0000002,-117.0309002,0.1482752,0  ,86  ,13 ,0.50,0.50,0.00,1
125000,10,10 ,-40,0.0490002,-157.0309002,0.1654782,70 ,0   ,15 ,0.00,0.00,1.00,2
125000,10,10 ,-30,0.0520002,-147.0309002,0.1654782,74 ,21  ,15 ,0.00,0.00,1.00,2
125000,10,10 ,-20,0.0100002,-137.0309002,0.1654782,14 ,43  ,15 ,0.50,0.50,0.00,1
125000,10,10 ,-10,0.0000002,-127.0309002,0.1654782,0  ,65  ,15 ,0.50,0.50,0.00,1
125000,10,10 ,0  ,0.0000002,-117.0309002,0.1654782,0  ,86  ,15 ,0.50,0.50,0.00,1
125000,10,30 ,-40,0.0480002,-157.0309002,0.1982462,68 ,0   ,18 ,0.00,0.00,1.00,2
125000,10,30 ,-30,0.0453332,-147.0309002,0.1982462,64 ,21  ,18 ,0.00,0.00,1.00,2
