BER     ,RSSI        ,ToA
0.466672,-134.0206002,0.014438
0.033332,-124.0206002,0.014438
0.000002,-114.0206002,0.014438
0.482862,-154.0206002,0.016486
0.494292,-144.0206002,0.016486
0.488572,-134.0206002,0.016486
0.025712,-124.0206002,0.016486
0.000002,-114.0206002,0.016486
0.502042,-154.0206002,0.018534
0.508162,-144.0206002,0.018534
0.448982,-134.0206002,0.018534
0.010202,-124.0206002,0.018534
0.000002,-114.0206002,0.018534
0.547622,-154.0206002,0.020582
0.515872,-144.0206002,0.020582
0.477782,-134.0206002,0.020582
0.030162,-124.0206002,0.020582
0.000002,-114.0206002,0.020582
0.488312,-154.0206002,0.022630
0.470132,-144.0206002,0.022630
0.457142,-134.0206002,0.022630
0.009092,-124.0206002,0.022630
0.000002,-114.0206002,0.022630
0.425002,-154.0206002,0.024781
0.550002,-144.0206002,0.024781
0.625002,-134.0206002,0.024781
0.000002,-124.0206002,0.024781
0.000002,-114.0206002,0.024781
0.466672,-154.0206002,0.028877
0.520832,-144.0206002,0.028877
0.354172,-134.0206002,0.028877
0.000002,-124.0206002,0.028877
0.000002,-114.0206002,0.028877
0.497502,-154.0206002,0.028877
0.450002,-144.0206002,0.028877
0.412502,-134.0206002,0.028877
0.000002,-124.0206002,0.028877
0.000002,-114.0206002,0.028877
0.485712,-154.0206002,0.032973
0.464292,-144.0206002,0.032973
0.417862,-134.0206002,0.032973
0.000002,-124.0206002,0.032973
0.000002,-114.0206002,0.032973
0.501392,-154.0206002,0.037069
0.465282,-144.0206002,0.037069
0.398612,-134.0206002,0.037069
0.000002,-124.0206002,0.037069
0.000002,-114.0206002,0.037069
0.512502,-154.0206002,0.041165
0.518182,-144.0206002,0.041165
0.457952,-134.0206002,0.041165
0.000002,-124.0206002,0.041165
0.000002,-114.0206002,0.041165
0.533332,-154.0206002,0.049562
0.500002,-144.0206002,0.049562
0.311112,-134.0206002,0.049562
0.000002,-124.0206002,0.049562
0.000002,-114.0206002,0.049562
0.503702,-154.0206002,0.049562
0.488892,-144.0206002,0.049562
0.322222,-134.0206002,0.049562
0.000002,-124.0206002,0.049562
0.000002,-114.0206002,0.049562
0.537782,-154.0206002,0.057754
0.473332,-144.0206002,0.057754
0.315562,-134.0206002,0.057754
0.000002,-124.0206002,0.057754
0.000002,-114.0206002,0.057754
0.519052,-154.0206002,0.065946
0.490482,-144.0206002,0.065946
0.328572,-134.0206002,0.065946
0.000002,-124.0206002,0.065946
0.000002,-114.0206002,0.065946
0.534572,-154.0206002,0.065946
0.544442,-144.0206002,0.065946
0.323462,-134.0206002,0.065946
0.000002,-124.0206002,0.065946
0.000002,-114.0206002,0.065946
0.504042,-154.0206002,0.074138
0.534342,-144.0206002,0.074138
0.267682,-134.0206002,0.074138
0.000002,-124.0206002,0.074138
0.000002,-114.0206002,0.074138
0.430002,-154.0206002,0.082739
0.560002,-144.0206002,0.082739
0.120002,-134.0206002,0.082739
0.000002,-124.0206002,0.082739
0.000002,-114.0206002,0.082739
0.503332,-154.0206002,0.099123
0.530002,-144.0206002,0.099123
0.103332,-134.0206002,0.099123
0.030002,-124.0206002,0.099123
0.000002,-114.0206002,0.099123
0.472002,-154.0206002,0.115507
0.452002,-144.0206002,0.115507
0.122002,-134.0206002,0.115507
0.000002,-124.0206002,0.115507
0.000002,-114.0206002,0.115507
0.515712,-154.0206002,0.115507
0.517142,-144.0206002,0.115507
0.121432,-134.0206002,0.115507
0.000002,-124.0206002,0.115507
0.000002,-114.0206002,0.115507
0.485562,-154.0206002,0.131891
0.456672,-144.0206002,0.131891
0.173332,-134.0206002,0.131891
0.000002,-124.0206002,0.131891
0.000002,-114.0206002,0.131891
0.484552,-154.0206002,0.148275
0.480912,-144.0206002,0.148275
0.197272,-134.0206002,0.148275
0.000002,-124.0206002,0.148275
0.000002,-114.0206002,0.148275
0.527272,-154.0206002,0.165478
0.581822,-144.0206002,0.165478
0.000002,-134.0206002,0.165478
0.000002,-124.0206002,0.165478
0.000002,-114.0206002,0.165478
0.487882,-154.0206002,0.198246
0.506062,-144.0206002,0.198246
0.054552,-134.0206002,0.198246
0.000002,-124.0206002,0.198246
0.000002,-114.0206002,0.198246
0.501822,-154.0206002,0.198246
0.525452,-144.0206002,0.198246
0.000002,-134.0206002,0.198246
0.000002,-124.0206002,0.198246
0.000002,-114.0206002,0.198246
0.485712,-154.0206002,0.231014
0.505192,-144.0206002,0.231014
0.019482,-134.0206002,0.231014
0.000002,-124.0206002,0.231014
0.000002,-114.0206002,0.231014
0.487882,-154.0206002,0.263782
0.472732,-144.0206002,0.263782
0.054552,-134.0206002,0.263782
0.000002,-124.0206002,0.263782
0.000002,-114.0206002,0.263782
0.499172,-154.0206002,0.263782
0.471072,-144.0206002,0.263782
0.005792,-134.0206002,0.263782
0.000002,-124.0206002,0.263782
0.000002,-114.0206002,0.263782
0.475002,-154.0206002,0.330957
0.541672,-144.0206002,0.330957
0.000002,-134.0206002,0.330957
0.000002,-124.0206002,0.330957
0.000002,-114.0206002,0.330957
0.466672,-154.0206002,0.396493
0.419442,-144.0206002,0.396493
0.000002,-134.0206002,0.396493
0.000002,-124.0206002,0.396493
0.000002,-114.0206002,0.396493
0.520002,-154.0206002,0.396493
0.428332,-144.0206002,0.396493
0.000002,-134.0206002,0.396493
0.000002,-124.0206002,0.396493
0.000002,-114.0206002,0.396493
0.528572,-154.0206002,0.462029
0.441672,-144.0206002,0.462029
0.144052,-134.0206002,0.462029
0.000002,-124.0206002,0.462029
0.000002,-114.0206002,0.462029
0.533332,-154.0206002,0.462029
0.407412,-144.0206002,0.462029
0.000002,-134.0206002,0.462029
0.000002,-124.0206002,0.462029
0.000002,-114.0206002,0.462029
0.511362,-154.0206002,0.527565
0.421212,-144.0206002,0.527565
0.090152,-134.0206002,0.527565
0.000002,-124.0206002,0.527565
0.000002,-114.0206002,0.527565
0.600002,-151.0103002,0.006195
0.414292,-141.0103002,0.006195
0.428572,-131.0103002,0.006195
0.000002,-121.0103002,0.006195
0.000002,-111.0103002,0.006195
0.528572,-151.0103002,0.007219
0.571432,-141.0103002,0.007219
0.519052,-131.0103002,0.007219
0.023812,-121.0103002,0.007219
0.000002,-111.0103002,0.007219
0.462862,-151.0103002,0.008243
0.517142,-141.0103002,0.008243
0.502862,-131.0103002,0.008243
0.025712,-121.0103002,0.008243
0.000002,-111.0103002,0.008243
0.459182,-151.0103002,0.009267
0.475512,-141.0103002,0.009267
0.463272,-131.0103002,0.009267
0.018372,-121.0103002,0.009267
0.000002,-111.0103002,0.009267
0.511112,-151.0103002,0.010291
0.538102,-141.0103002,0.010291
0.431752,-131.0103002,0.010291
0.019052,-121.0103002,0.010291
0.000002,-111.0103002,0.010291
0.489612,-151.0103002,0.011315
0.480522,-141.0103002,0.011315
0.480522,-131.0103002,0.011315
0.016882,-121.0103002,0.011315
0.000002,-111.0103002,0.011315
0.487502,-151.0103002,0.012390
0.512502,-141.0103002,0.012390
0.512502,-131.0103002,0.012390
0.000002,-121.0103002,0.012390
0.000002,-111.0103002,0.012390
0.554172,-151.0103002,0.014438
0.558332,-141.0103002,0.014438
0.391672,-131.0103002,0.014438
