BW      SF  PS   SNR  BER        RSSI          ToA  L
125000  10  50   -10  0.0000002  -127.0309002  0.2310142  1
125000  10  50   0    0.0000002  -117.0309002  0.2310142  1
125000  10  70   -40  0.0495712  -157.0309002  0.2310142  2
125000  10  70   -30  0.0482862  -147.0309002  0.2310142  2
125000  10  70   -20  0.0121432  -137.0309002  0.2310142  1
125000  10  70   -10  0.0000002  -127.0309002  0.2310142  1
125000  10  70   0    0.0000002  -117.0309002  0.2310142  1
125000  10  90   -40  0.0487782  -157.0309002  0.2637822  2
125000  10  90   -30  0.0474442  -147.0309002  0.2637822  2
125000  10  90   -20  0.0106672  -137.0309002  0.2637822  1
125000  10  90   -10  0.0000002  -127.0309002  0.2637822  1
125000  10  90   0    0.0000002  -117.0309002  0.2637822  1
125000  10  110  -40  0.0521822  -157.0309002  0.2965502  2
125000  10  110  -30  0.0533642  -147.0309002  0.2965502  2
125000  10  110  -20  0.0143642  -137.0309002  0.2965502  1
125000  10  110  -10  0.0000002  -127.0309002  0.2965502  1
125000  10  110  0    0.0000002  -117.0309002  0.2965502  1
125000  11  10   -40  0.0500002  -157.0309002  0.3309572  2
125000  11  10   -30  0.0518182  -147.0309002  0.3309572  2
125000  11  10   -20  0.0000002  -137.0309002  0.3309572  1
125000  11  10   -10  0.0000002  -127.0309002  0.3309572  1
125000  11  10   0    0.0000002  -117.0309002  0.3309572  1
125000  11  30   -40  0.0512122  -157.0309002  0.3964932  2
125000  11  30   -30  0.0448482  -147.0309002  0.3964932  2
125000  11  30   -20  0.0000002  -137.0309002  0.3964932  0
125000  11  30   -10  0.0000002  -127.0309002  0.3964932  1
125000  11  30   0    0.0000002  -117.0309002  0.3964932  1
125000  11  50   -40  0.0496362  -157.0309002  0.3964932  2
125000  11  50   -30  0.0465452  -147.0309002  0.3964932  2
125000  11  50   -20  0.0081822  -137.0309002  0.3964932  0
125000  11  50   -10  0.0000002  -127.0309002  0.3964932  1
125000  11  50   0    0.0000002  -117.0309002  0.3964932  1
125000  11  70   -40  0.0522082  -157.0309002  0.4620292  2
125000  11  70   -30  0.0479222  -147.0309002  0.4620292  2
125000  11  70   -20  0.0002602  -137.0309002  0.4620292  0
125000  11  70   -10  0.0000002  -127.0309002  0.4620292  1
125000  11  70   0    0.0000002  -117.0309002  0.4620292  1
125000  11  90   -40  0.0515152  -157.0309002  0.5275652  2
125000  11  90   -30  0.0473742  -147.0309002  0.5275652  2
125000  11  90   -20  0.0014142  -137.0309002  0.5275652  0
125000  11  90   -10  0.0000002  -127.0309002  0.5275652  0
125000  11  90   0    0.0000002  -117.0309002  0.5275652  1
125000  11  110  -40  0.0487602  -157.0309002  0.5275652  2
125000  11  110  -30  0.0481822  -147.0309002  0.5275652  2
125000  11  110  -20  0.0051242  -137.0309002  0.5275652  0
125000  11  110  -10  0.0000002  -127.0309002  0.5275652  0
125000  11  110  0    0.0000002  -117.0309002  0.5275652  1
125000  12  10   -40  0.0458332  -157.0309002  0.6619142  2
125000  12  10   -30  0.0450002  -147.0309002  0.6619142  2
125000  12  10   -20  0.0000002  -137.0309002  0.6619142  0
125000  12  10   -10  0.0000002  -127.0309002  0.6619142  0
125000  12  10   0    0.0000002  -117.0309002  0.6619142  0
125000  12  30   -40  0.0511112  -157.0309002  0.7929862  2
125000  12  30   -30  0.0461112  -147.0309002  0.7929862  2
125000  12  30   -20  0.0000002  -137.0309002  0.7929862  0
125000  12  30   -10  0.0000002  -127.0309002  0.7929862  0
125000  12  30   0    0.0000002  -117.0309002  0.7929862  0
125000  12  50   -40  0.0476672  -157.0309002  0.7929862  2
125000  12  50   -30  0.0463332  -147.0309002  0.7929862  2
125000  12  50   -20  0.0000002  -137.0309002  0.7929862  0
125000  12  50   -10  0.0000002  -127.0309002  0.7929862  0
125000  12  50   0    0.0000002  -117.0309002  0.7929862  0
125000  12  70   -40  0.0508332  -157.0309002  0.9240582  2
125000  12  70   -30  0.0421432  -147.0309002  0.9240582  2
125000  12  70   -20  0.0033332  -137.0309002  0.9240582  0
125000  12  70   -10  0.0000002  -127.0309002  0.9240582  0
125000  12  70   0    0.0000002  -117.0309002  0.9240582  0
125000  12  90   -40  0.0494442  -157.0309002  0.9240582  2
125000  12  90   -30  0.0403702  -147.0309002  0.9240582  2
125000  12  90   -20  0.0000002  -137.0309002  0.9240582  0
125000  12  90   -10  0.0000002  -127.0309002  0.9240582  0
125000  12  90   0    0.0000002  -117.0309002  0.9240582  0
125000  12  110  -40  0.0489392  -157.0309002  1.0551302  2
125000  12  110  -30  0.0429552  -147.0309002  1.0551302  2
125000  12  110  -20  0.0000002  -137.0309002  1.0551302  0
125000  12  110  -10  0.0000002  -127.0309002  1.0551302  0
125000  12  110  0    0.0000002  -117.0309002  1.0551302  0
250000  7   10   -40  0.0442862  -154.0206002  0.0123902  2
250000  7   10   -30  0.0428572  -144.0206002  0.0123902  2
250000  7   10   -20  0.0442862  -134.0206002  0.0123902  2
250000  7   10   -10  0.0000002  -124.0206002  0.0123902  1
250000  7   10   0    0.0000002  -114.0206002  0.0123902  1
250000  7   30   -40  0.0480952  -154.0206002  0.0144382  2
250000  7   30   -30  0.0504762  -144.0206002  0.0144382  2
250000  7   30   -20  0.0466672  -134.0206002  0.0144382  2
250000  7   30   -10  0.0033332  -124.0206002  0.0144382  1
250000  7   30   0    0.0000002  -114.0206002  0.0144382  1
250000  7   50   -40  0.0482862  -154.0206002  0.0164862  2
250000  7   50   -30  0.0494292  -144.0206002  0.0164862  2
250000  7   50   -20  0.0488572  -134.0206002  0.0164862  2
250000  7   50   -10  0.0025712  -124.0206002  0.0164862  1
250000  7   50   0    0.0000002  -114.0206002  0.0164862  1
250000  7   70   -40  0.0502042  -154.0206002  0.0185342  2
250000  7   70   -30  0.0508162  -144.0206002  0.0185342  2
250000  7   70   -20  0.0448982  -134.0206002  0.0185342  2
250000  7   70   -10  0.0010202  -124.0206002  0.0185342  1
250000  7   70   0    0.0000002  -114.0206002  0.0185342  1
250000  7   90   -40  0.0547622  -154.0206002  0.0205822  2
250000  7   90   -30  0.0515872  -144.0206002  0.0205822  2
250000  7   90   -20  0.0477782  -134.0206002  0.0205822  2
250000  7   90   -10  0.0030162  -124.0206002  0.0205822  1
250000  7   90   0    0.0000002  -114.0206002  0.0205822  1
250000  7   110  -40  0.0488312  -154.0206002  0.0226302  2
250000  7   110  -30  0.0470132  -144.0206002  0.0226302  2
250000  7   110  -20  0.0457142  -134.0206002  0.0226302  2
250000  7   110  -10  0.0009092  -124.0206002  0.0226302  1
250000  7   110  0    0.0000002  -114.0206002  0.0226302  1
250000  8   10   -40  0.0425002  -154.0206002  0.0247812  2
250000  8   10   -30  0.0550002  -144.0206002  0.0247812  2
250000  8   10   -20  0.0625002  -134.0206002  0.0247812  2
250000  8   10   -10  0.0000002  -124.0206002  0.0247812  1
250000  8   10   0    0.0000002  -114.0206002  0.0247812  1
250000  8   30   -40  0.0466672  -154.0206002  0.0288772  2
250000  8   30   -30  0.0520832  -144.0206002  0.0288772  2
250000  8   30   -20  0.0354172  -134.0206002  0.0288772  2
250000  8   30   -10  0.0000002  -124.0206002  0.0288772  1
250000  8   30   0    0.0000002  -114.0206002  0.0288772  1
250000  8   50   -40  0.0497502  -154.0206002  0.0288772  2
250000  8   50   -30  0.0450002  -144.0206002  0.0288772  2
250000  8   50   -20  0.0412502  -134.0206002  0.0288772  2
250000  8   50   -10  0.0000002  -124.0206002  0.0288772  1
250000  8   50   0    0.0000002  -114.0206002  0.0288772  1
250000  8   70   -40  0.0485712  -154.0206002  0.0329732  2
250000  8   70   -30  0.0464292  -144.0206002  0.0329732  2
250000  8   70   -20  0.0417862  -134.0206002  0.0329732  2
250000  8   70   -10  0.0000002  -124.0206002  0.0329732  1
250000  8   70   0    0.0000002  -114.0206002  0.0329732  1
250000  8   90   -40  0.0501392  -154.0206002  0.0370692  2
250000  8   90   -30  0.0465282  -144.0206002  0.0370692  2
250000  8   90   -20  0.0398612  -134.0206002  0.0370692  2
250000  8   90   -10  0.0000002  -124.0206002  0.0370692  1
250000  8   90   0    0.0000002  -114.0206002  0.0370692  1
250000  8   110  -40  0.0512502  -154.0206002  0.0411652  2
250000  8   110  -30  0.0518182  -144.0206002  0.0411652  2
250000  8   110  -20  0.0457952  -134.0206002  0.0411652  2
250000  8   110  -10  0.0000002  -124.0206002  0.0411652  1
250000  8   110  0    0.0000002  -114.0206002  0.0411652  1
250000  9   10   -40  0.0533332  -154.0206002  0.0495622  2
250000  9   10   -30  0.0500002  -144.0206002  0.0495622  2
250000  9   10   -20  0.0311112  -134.0206002  0.0495622  2
250000  9   10   -10  0.0000002  -124.0206002  0.0495622  1
250000  9   10   0    0.0000002  -114.0206002  0.0495622  1
250000  9   30   -40  0.0503702  -154.0206002  0.0495622  2
250000  9   30   -30  0.0488892  -144.0206002  0.0495622  2
250000  9   30   -20  0.0322222  -134.0206002  0.0495622  2
250000  9   30   -10  0.0000002  -124.0206002  0.0495622  1
250000  9   30   0    0.0000002  -114.0206002  0.0495622  1
250000  9   50   -40  0.0537782  -154.0206002  0.0577542  2
250000  9   50   -30  0.0473332  -144.0206002  0.0577542  2
250000  9   50   -20  0.0315562  -134.0206002  0.0577542  2
250000  9   50   -10  0.0000002  -124.0206002  0.0577542  1
250000  9   50   0    0.0000002  -114.0206002  0.0577542  1
250000  9   70   -40  0.0519052  -154.0206002  0.0659462  2
250000  9   70   -30  0.0490482  -144.0206002  0.0659462  2
250000  9   70   -20  0.0328572  -134.0206002  0.0659462  2
250000  9   70   -10  0.0000002  -124.0206002  0.0659462  1
250000  9   70   0    0.0000002  -114.0206002  0.0659462  1
250000  9   90   -40  0.0534572  -154.0206002  0.0659462  2
250000  9   90   -30  0.0544442  -144.0206002  0.0659462  2
250000  9   90   -20  0.0323462  -134.0206002  0.0659462  2
250000  9   90   -10  0.0000002  -124.0206002  0.0659462  1
250000  9   90   0    0.0000002  -114.0206002  0.0659462  1
250000  9   110  -40  0.0504042  -154.0206002  0.0741382  2
250000  9   110  -30  0.0534342  -144.0206002  0.0741382  2
250000  9   110  -20  0.0267682  -134.0206002  0.0741382  2
250000  9   110  -10  0.0000002  -124.0206002  0.0741382  1
250000  9   110  0    0.0000002  -114.0206002  0.0741382  1
250000  10  10   -40  0.0430002  -154.0206002  0.0827392  2
250000  10  10   -30  0.0560002  -144.0206002  0.0827392  2
250000  10  10   -20  0.0120002  -134.0206002  0.0827392  1
250000  10  10   -10  0.0000002  -124.0206002  0.0827392  1
250000  10  10   0    0.0000002  -114.0206002  0.0827392  1
250000  10  30   -40  0.0503332  -154.0206002  0.0991232  2
250000  10  30   -30  0.0530002  -144.0206002  0.0991232  2
250000  10  30   -20  0.0103332  -134.0206002  0.0991232  1
250000  10  30   -10  0.0030002  -124.0206002  0.0991232  1
250000  10  30   0    0.0000002  -114.0206002  0.0991232  1
250000  10  50   -40  0.0472002  -154.0206002  0.1155072  2
250000  10  50   -30  0.0452002  -144.0206002  0.1155072  2
250000  10  50   -20  0.0122002  -134.0206002  0.1155072  1
250000  10  50   -10  0.0000002  -124.0206002  0.1155072  1
250000  10  50   0    0.0000002  -114.0206002  0.1155072  1
250000  10  70   -40  0.0515712  -154.0206002  0.1155072  2
250000  10  70   -30  0.0517142  -144.0206002  0.1155072  2
250000  10  70   -20  0.0121432  -134.0206002  0.1155072  1
250000  10  70   -10  0.0000002  -124.0206002  0.1155072  1
250000  10  70   0    0.0000002  -114.0206002  0.1155072  1
250000  10  90   -40  0.0485562  -154.0206002  0.1318912  2
250000  10  90   -30  0.0456672  -144.0206002  0.1318912  2
250000  10  90   -20  0.0173332  -134.0206002  0.1318912  1
250000  10  90   -10  0.0000002  -124.0206002  0.1318912  1
250000  10  90   0    0.0000002  -114.0206002  0.1318912  1
250000  10  110  -40  0.0484552  -154.0206002  0.1482752  2
250000  10  110  -30  0.0480912  -144.0206002  0.1482752  2
250000  10  110  -20  0.0197272  -134.0206002  0.1482752  1
250000  10  110  -10  0.0000002  -124.0206002  0.1482752  1
250000  10  110  0    0.0000002  -114.0206002  0.1482752  1
250000  11  10   -40  0.0527272  -154.0206002  0.1654782  2
250000  11  10   -30  0.0581822  -144.0206002  0.1654782  2
250000  11  10   -20  0.0000002  -134.0206002  0.1654782  1
250000  11  10   -10  0.0000002  -124.0206002  0.1654782  1
250000  11  10   0    0.0000002  -114.0206002  0.1654782  1
250000  11  30   -40  0.0487882  -154.0206002  0.1982462  2
250000  11  30   -30  0.0506062  -144.0206002  0.1982462  2
250000  11  30   -20  0.0054552  -134.0206002  0.1982462  1
250000  11  30   -10  0.0000002  -124.0206002  0.1982462  1
250000  11  30   0    0.0000002  -114.0206002  0.1982462  1
250000  11  50   -40  0.0501822  -154.0206002  0.1982462  2
250000  11  50   -30  0.0525452  -144.0206002  0.1982462  2
250000  11  50   -20  0.0000002  -134.0206002  0.1982462  1
250000  11  50   -10  0.0000002  -124.0206002  0.1982462  1
