BW, SF, SNR, PS, BER
10400,10,-20,600,0.0166674
10400,10,-20,700,0.0147144
10400,10,-20,800,0.0113754
10400,10,-20,900,0.0142224
10400,10,-20,1000,0.0095004
10400,10,-10,100,0.0000004
10400,10,-10,200,0.0000004
10400,10,-10,300,0.0000004
10400,10,-10,400,0.0000004
10400,10,-10,500,0.0000004
10400,10,-10,600,0.0000004
10400,10,-10,700,0.0000004
10400,10,-10,800,0.0000004
10400,10,-10,900,0.0000004
10400,10,-10,1000,0.0000004
10400,10,0,100,0.0000004
10400,10,0,200,0.0000004
10400,10,0,300,0.0000004
10400,10,0,400,0.0000004
10400,10,0,500,0.0000004
10400,10,0,600,0.0000004
10400,10,0,700,0.0000004
10400,10,0,800,0.0000004
10400,10,0,900,0.0000004
10400,10,0,1000,0.0000004
10400,11,-40,110,0.0463644
10400,11,-40,220,0.0504554
10400,11,-40,330,0.0500004
10400,11,-40,440,0.0547734
10400,11,-40,550,0.0514554
10400,11,-40,660,0.0498484
10400,11,-40,770,0.0487014
10400,11,-40,880,0.0521594
10400,11,-40,990,0.0468694
10400,11,-40,1100,0.0487274
10400,11,-30,110,0.0545454
10400,11,-30,220,0.0431824
10400,11,-30,330,0.0500004
10400,11,-30,440,0.0506824
10400,11,-30,550,0.0490914
10400,11,-30,660,0.0465154
10400,11,-30,770,0.0496104
10400,11,-30,880,0.0465914
10400,11,-30,990,0.0453544
10400,11,-30,1100,0.0482734
10400,11,-20,110,0.0063644
10400,11,-20,220,0.0000004
10400,11,-20,330,0.0015154
10400,11,-20,440,0.0000004
10400,11,-20,550,0.0000004
10400,11,-20,660,0.0000004
10400,11,-20,770,0.0003904
10400,11,-20,880,0.0000004
10400,11,-20,990,0.0000004
10400,11,-20,1100,0.0007274
10400,11,-10,110,0.0000004
10400,11,-10,220,0.0000004
10400,11,-10,330,0.0000004
10400,11,-10,440,0.0000004
10400,11,-10,550,0.0000004
10400,11,-10,660,0.0000004
10400,11,-10,770,0.0000004
10400,11,-10,880,0.0000004
10400,11,-10,990,0.0000004
10400,11,-10,1100,0.0000004
10400,11,0,110,0.0000004
10400,11,0,220,0.0000004
10400,11,0,330,0.0000004
10400,11,0,440,0.0000004
10400,11,0,550,0.0000004
10400,11,0,660,0.0000004
10400,11,0,770,0.0000004
10400,11,0,880,0.0000004
10400,11,0,990,0.0000004
10400,11,0,1100,0.0000004
10400,12,-40,120,0.0541674
10400,12,-40,240,0.0500004
10400,12,-40,360,0.0544444
10400,12,-40,480,0.0516674
10400,12,-40,600,0.0481674
10400,12,-40,720,0.0475004
10400,12,-40,840,0.0488104
10400,12,-40,960,0.0498964
10400,12,-40,1080,0.0476854
10400,12,-40,1200,0.0515834
10400,12,-30,120,0.0400004
10400,12,-30,240,0.0445834
10400,12,-30,360,0.0475004
10400,12,-30,480,0.0439584
10400,12,-30,600,0.0446674
10400,12,-30,720,0.0434724
10400,12,-30,840,0.0430954
10400,12,-30,960,0.0433334
10400,12,-30,1080,0.0447224
10400,12,-30,1200,0.0450834
10400,12,-20,120,0.0000004
10400,12,-20,240,0.0000004
10400,12,-20,360,0.0000004
10400,12,-20,480,0.0000004
10400,12,-20,600,0.0000004
10400,12,-20,720,0.0000004
10400,12,-20,840,0.0000004
10400,12,-20,960,0.0000004
10400,12,-20,1080,0.0000004
10400,12,-20,1200,0.0000004
10400,12,-10,120,0.0000004
10400,12,-10,240,0.0000004
10400,12,-10,360,0.0000004
10400,12,-10,480,0.0000004
10400,12,-10,600,0.0000004
10400,12,-10,720,0.0000004
10400,12,-10,840,0.0000004
10400,12,-10,960,0.0000004
