"norm","exp","weibull","lnorm","gamma","logis","cauchy","gumbel","binom","triang","empirical"
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,0.9999,0.9999,0.986,0.9999,0.9999,0.9648,0.9997,1,1,0.5672
1,1,1,0.9893,1,1,0.9683,0.9999,1,1,0.6041
1,1,1,0.9893,1,1,0.9683,0.9999,1,1,0.6041
1,1,1,0.9893,1,1,0.9683,0.9999,1,1,0.6041
1,1,1,0.9893,1,1,0.9683,0.9999,1,1,0.6041
1,1,1,0.9893,1,1,0.9683,0.9999,1,1,0.6041
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9935,1,1,0.9735,1,1,1,0.6501
1,1,1,0.9948,1,1,0.9756,1,1,1,0.6685
1,1,1,0.9948,1,1,0.9756,1,1,1,0.6685
1,1,1,0.9948,1,1,0.9756,1,1,1,0.6685
1,1,1,0.9948,1,1,0.9756,1,1,1,0.6685
1,1,1,0.9948,1,1,0.9756,1,1,1,0.6685
1,1,1,0.9966,1,1,0.9788,1,1,1,0.6961
1,1,1,0.9966,1,1,0.9788,1,1,1,0.6961
1,1,1,0.9966,1,1,0.9788,1,1,1,0.6961
1,1,1,0.9966,1,1,0.9788,1,1,1,0.6961
1,1,1,0.9966,1,1,0.9788,1,1,1,0.6961
1,1,1,0.9981,1,1,0.9823,1,1,1,0.7422
1,1,1,0.9981,1,1,0.9823,1,1,1,0.7422
1,1,1,0.9981,1,1,0.9823,1,1,1,0.7422
1,1,1,0.9981,1,1,0.9823,1,1,1,0.7422
1,1,1,0.9981,1,1,0.9823,1,1,1,0.7422
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9988,1,1,0.9849,1,1,1,0.7882
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9993,1,1,0.9867,1,1,1,0.825
1,1,1,0.9995,1,1,0.9882,1,1,1,0.8343
1,1,1,0.9995,1,1,0.9882,1,1,1,0.8343
1,1,1,0.9995,1,1,0.9882,1,1,1,0.8343
1,1,1,0.9995,1,1,0.9882,1,1,1,0.8343
1,1,1,0.9995,1,1,0.9882,1,1,1,0.8343
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9997,1,1,0.9897,1,1,1,0.8527
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9998,1,1,0.9914,1,1,1,0.8895
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,0.9999,1,1,0.9926,1,1,1,0.9171
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9935,1,1,1,0.9448
1,1,1,1,1,1,0.9949,1,1,1,0.954
1,1,1,1,1,1,0.9949,1,1,1,0.954
1,1,1,1,1,1,0.9949,1,1,1,0.954
1,1,1,1,1,1,0.9949,1,1,1,0.954
1,1,1,1,1,1,0.9949,1,1,1,0.954
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9957,1,1,1,0.9724
1,1,1,1,1,1,0.9963,1,1,1,0.9908
1,1,1,1,1,1,0.9963,1,1,1,0.9908
1,1,1,1,1,1,0.9963,1,1,1,0.9908
1,1,1,1,1,1,0.9963,1,1,1,0.9908
1,1,1,1,1,1,0.9963,1,1,1,0.9908
1,1,1,1,1,1,0.9963,1,1,1,0.9908
1,1,1,1,1,1,0.9963,1,1,1,0.9908
1,1,1,1,1,1,0.9963,1,1,1,0.9908
