"norm","exp","weibull","lnorm","gamma","logis","cauchy","gumbel","binom","triang","empirical"
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
