type	latitude	longitude	altitude (m)	name
W	16.615137800	-61.940917969	0.0	Px1y1
W	16.615137800	-61.929931641	0.0	Px2y1
W	16.615137800	-61.918945312	0.0	Px3y1
W	16.615137800	-61.907958984	0.0	Px4y1
W	16.615137800	-61.896972656	0.0	Px5y1
W	16.615137800	-61.885986328	0.0	Px6y1
W	16.615137800	-61.875000000	0.0	Px7y1
W	16.615137800	-61.864013672	0.0	Px8y1
W	16.615137800	-61.853027344	0.0	Px9y1
W	16.615137800	-61.842041016	0.0	Px10y1
W	16.615137800	-61.831054688	0.0	Px11y1
W	16.615137800	-61.820068359	0.0	Px12y1
W	16.615137800	-61.809082031	0.0	Px13y1
W	16.615137800	-61.798095703	0.0	Px14y1
W	16.615137800	-61.787109375	0.0	Px15y1
W	16.615137800	-61.776123047	0.0	Px16y1
W	16.615137800	-61.765136719	0.0	Px17y1
W	16.615137800	-61.754150391	0.0	Px18y1
W	16.615137800	-61.743164062	0.0	Px19y1
W	16.615137800	-61.732177734	0.0	Px20y1
W	16.615137800	-61.721191406	0.0	Px21y1
W	16.615137800	-61.710205078	0.0	Px22y1
W	16.615137800	-61.699218750	0.0	Px23y1
W	16.615137800	-61.688232422	0.0	Px24y1
W	16.615137800	-61.677246094	0.0	Px25y1
W	16.615137800	-61.666259766	0.0	Px26y1
W	16.615137800	-61.655273438	0.0	Px27y1
W	16.615137800	-61.644287109	0.0	Px28y1
W	16.615137800	-61.633300781	0.0	Px29y1
W	16.615137800	-61.622314453	0.0	Px30y1
W	16.615137800	-61.611328125	0.0	Px31y1
W	16.615137800	-61.600341797	0.0	Px32y1
W	16.615137800	-61.589355469	0.0	Px33y1
W	16.615137800	-61.578369141	0.0	Px34y1
W	16.615137800	-61.567382812	0.0	Px35y1
W	16.615137800	-61.556396484	0.0	Px36y1
W	16.615137800	-61.545410156	0.0	Px37y1
W	16.615137800	-61.534423828	0.0	Px38y1
W	16.615137800	-61.523437500	0.0	Px39y1
W	16.615137800	-61.512451172	0.0	Px40y1
W	16.615137800	-61.501464844	0.0	Px41y1
W	16.615137800	-61.490478516	0.0	Px42y1
W	16.615137800	-61.479492188	0.0	Px43y1
W	16.615137800	-61.468505859	0.0	Px44y1
W	16.615137800	-61.457519531	0.0	Px45y1
W	16.615137800	-61.446533203	0.0	Px46y1
