type	latitude	longitude	altitude (m)	name
W	16.615137800	-61.940917969	0.0	Px1y1
W	16.615137800	-61.931304932	0.0	Px2y1
W	16.615137800	-61.921691895	0.0	Px3y1
W	16.615137800	-61.912078857	0.0	Px4y1
W	16.615137800	-61.902465820	0.0	Px5y1
W	16.615137800	-61.892852783	0.0	Px6y1
W	16.615137800	-61.883239746	0.0	Px7y1
W	16.615137800	-61.873626709	0.0	Px8y1
W	16.615137800	-61.864013672	0.0	Px9y1
W	16.615137800	-61.854400635	0.0	Px10y1
W	16.615137800	-61.844787598	0.0	Px11y1
W	16.615137800	-61.835174561	0.0	Px12y1
W	16.615137800	-61.825561523	0.0	Px13y1
W	16.615137800	-61.815948486	0.0	Px14y1
W	16.615137800	-61.806335449	0.0	Px15y1
W	16.615137800	-61.796722412	0.0	Px16y1
W	16.615137800	-61.787109375	0.0	Px17y1
W	16.615137800	-61.777496338	0.0	Px18y1
W	16.615137800	-61.767883301	0.0	Px19y1
W	16.615137800	-61.758270264	0.0	Px20y1
W	16.615137800	-61.748657227	0.0	Px21y1
W	16.615137800	-61.739044189	0.0	Px22y1
W	16.615137800	-61.729431152	0.0	Px23y1
W	16.615137800	-61.719818115	0.0	Px24y1
W	16.615137800	-61.710205078	0.0	Px25y1
W	16.615137800	-61.700592041	0.0	Px26y1
W	16.615137800	-61.690979004	0.0	Px27y1
W	16.615137800	-61.681365967	0.0	Px28y1
W	16.615137800	-61.671752930	0.0	Px29y1
W	16.615137800	-61.662139893	0.0	Px30y1
W	16.615137800	-61.652526855	0.0	Px31y1
W	16.615137800	-61.642913818	0.0	Px32y1
W	16.615137800	-61.633300781	0.0	Px33y1
W	16.615137800	-61.623687744	0.0	Px34y1
W	16.615137800	-61.614074707	0.0	Px35y1
W	16.615137800	-61.604461670	0.0	Px36y1
W	16.615137800	-61.594848633	0.0	Px37y1
W	16.615137800	-61.585235596	0.0	Px38y1
W	16.615137800	-61.575622559	0.0	Px39y1
W	16.615137800	-61.566009521	0.0	Px40y1
W	16.615137800	-61.556396484	0.0	Px41y1
W	16.615137800	-61.546783447	0.0	Px42y1
W	16.615137800	-61.537170410	0.0	Px43y1
W	16.615137800	-61.527557373	0.0	Px44y1
W	16.615137800	-61.517944336	0.0	Px45y1
W	16.615137800	-61.508331299	0.0	Px46y1
W	16.615137800	-61.498718262	0.0	Px47y1
W	16.615137800	-61.489105225	0.0	Px48y1
W	16.615137800	-61.479492188	0.0	Px49y1
W	16.615137800	-61.469879150	0.0	Px50y1
W	16.615137800	-61.460266113	0.0	Px51y1
W	16.615137800	-61.450653076	0.0	Px52y1
W	16.615137800	-61.441040039	0.0	Px53y1
W	16.615137800	-61.431427002	0.0	Px54y1
W	16.615137800	-61.421813965	0.0	Px55y1
W	16.615137800	-61.412200928	0.0	Px56y1
W	16.615137800	-61.402587891	0.0	Px57y1
W	16.615137800	-61.392974854	0.0	Px58y1
W	16.615137800	-61.383361816	0.0	Px59y1
W	16.615137800	-61.373748779	0.0	Px60y1
W	16.615137800	-61.364135742	0.0	Px61y1
W	16.615137800	-61.354522705	0.0	Px62y1
W	16.615137800	-61.344909668	0.0	Px63y1
W	16.615137800	-61.335296631	0.0	Px64y1
W	16.615137800	-61.325683594	0.0	Px65y1
W	16.615137800	-61.316070557	0.0	Px66y1
W	16.615137800	-61.306457520	0.0	Px67y1
W	16.615137800	-61.296844482	0.0	Px68y1
W	16.615137800	-61.287231445	0.0	Px69y1
W	16.615137800	-61.277618408	0.0	Px70y1
W	16.615137800	-61.268005371	0.0	Px71y1
W	16.615137800	-61.258392334	0.0	Px72y1
W	16.615137800	-61.248779297	0.0	Px73y1
W	16.615137800	-61.239166260	0.0	Px74y1
W	16.615137800	-61.229553223	0.0	Px75y1
W	16.615137800	-61.219940186	0.0	Px76y1
W	16.615137800	-61.210327148	0.0	Px77y1
W	16.615137800	-61.200714111	0.0	Px78y1
W	16.615137800	-61.191101074	0.0	Px79y1
W	16.615137800	-61.181488037	0.0	Px80y1
W	16.615137800	-61.171875000	0.0	Px81y1
W	16.615137800	-61.162261963	0.0	Px82y1
W	16.615137800	-61.152648926	0.0	Px83y1
W	16.615137800	-61.143035889	0.0	Px84y1
W	16.615137800	-61.133422852	0.0	Px85y1
W	16.615137800	-61.123809814	0.0	Px86y1
W	16.615137800	-61.114196777	0.0	Px87y1
W	16.615137800	-61.104583740	0.0	Px88y1
W	16.615137800	-61.094970703	0.0	Px89y1
W	16.615137800	-61.085357666	0.0	Px90y1
W	16.615137800	-61.075744629	0.0	Px91y1
W	16.615137800	-61.066131592	0.0	Px92y1
W	16.615137800	-61.056518555	0.0	Px93y1
W	16.615137800	-61.046905518	0.0	Px94y1
W	16.615137800	-61.037292480	0.0	Px95y1
W	16.615137800	-61.027679443	0.0	Px96y1
W	16.615137800	-61.018066406	0.0	Px97y1
W	16.615137800	-61.008453369	0.0	Px98y1
W	16.615137800	-60.998840332	0.0	Px99y1
W	16.615137800	-60.989227295	0.0	Px100y1
W	16.615137800	-60.979614258	0.0	Px101y1
W	16.615137800	-60.970001221	0.0	Px102y1
W	16.615137800	-60.960388184	0.0	Px103y1
W	16.615137800	-60.950775146	0.0	Px104y1
W	16.615137800	-60.941162109	0.0	Px105y1
W	16.615137800	-60.931549072	0.0	Px106y1
W	16.615137800	-60.921936035	0.0	Px107y1
W	16.615137800	-60.912322998	0.0	Px108y1
W	16.615137800	-60.902709961	0.0	Px109y1
W	16.615137800	-60.893096924	0.0	Px110y1
W	16.615137800	-60.883483887	0.0	Px111y1
W	16.605925915	-61.940917969	0.0	Px1y2
W	16.605925915	-61.931304932	0.0	Px2y2
W	16.605925915	-61.921691895	0.0	Px3y2
W	16.605925915	-61.912078857	0.0	Px4y2
W	16.605925915	-61.902465820	0.0	Px5y2
W	16.605925915	-61.892852783	0.0	Px6y2
W	16.605925915	-61.883239746	0.0	Px7y2
W	16.605925915	-61.873626709	0.0	Px8y2
W	16.605925915	-61.864013672	0.0	Px9y2
W	16.605925915	-61.854400635	0.0	Px10y2
W	16.605925915	-61.844787598	0.0	Px11y2
W	16.605925915	-61.835174561	0.0	Px12y2
W	16.605925915	-61.825561523	0.0	Px13y2
W	16.605925915	-61.815948486	0.0	Px14y2
W	16.605925915	-61.806335449	0.0	Px15y2
W	16.605925915	-61.796722412	0.0	Px16y2
W	16.605925915	-61.787109375	0.0	Px17y2
