column1     column2   column3 column4
Scalability 6           3.5   3.7
Range       2.5         5.8   4  
Coverage    2           5.9   4.2
Deployement 1.5         5.9   6  
Cost-Efficiency  2     5.9 5.9
Battery-life        5.7   5.9 5.9
QoS         5.8         2     2.5
Payload-length      5.8   1.5 3  
Latency-performance 5.8   1.5 4  
