BER  RSSI  ToA L
0    78    1 1
0    99    1 1
76   13    1 2
65   34    1 2
65   56    1 2
0    78    1 1
0    99    1 1
69   13    1 2
70   34    1 2
59   56    1 2
0    78    1 1
0    99    1 1
72   13    1 2
73   34    1 2
62   56    1 2
0    78    1 1
0    99    1 1
71   13    1 2
74   34    1 2
60   56    1 2
0    78    1 1
0    99    1 1
82   13    2 2
74   34    2 2
44   56    2 2
0    78    2 1
0    99    2 1
67   13    2 2
71   34    2 2
34   56    2 1
0    78    2 1
0    99    2 1
68   13    2 2
69   34    2 2
47   56    2 2
0    78    2 1
0    99    2 1
75   13    3 2
68   34    3 2
44   56    3 2
0    78    3 1
0    99    3 1
70   13    3 2
68   34    3 2
44   56    3 2
0    78    3 1
0    99    3 1
68   13    3 2
70   34    3 2
52   56    3 2
0    78    3 1
0    99    3 1
72   13    3 2
71   34    3 2
17   56    3 1
0    78    3 1
0    99    3 1
68   13    4 2
66   34    4 2
10   56    4 1
0    78    4 1
0    99    4 1
70   13    5 2
70   34    5 2
19   56    5 1
0    78    5 1
0    99    5 1
76   13    5 2
70   34    5 2
14   56    5 1
0    78    5 1
0    99    5 1
71   13    6 2
71   34    6 2
19   56    6 1
0    78    6 1
0    99    6 1
73   13    6 2
69   34    6 2
15   56    6 1
0    78    6 1
0    99    6 1
68   13    7 2
70   34    7 2
0    56    7 1
0    78    7 1
0    99    7 1
75   13    9 2
63   34    9 2
0    56    9 1
0    78    9 1
0    99    9 1
72   13    9 2
60   34    9 2
0    56    9 1
0    78    9 1
0    99    9 1
71   13    10 2
68   34    10 2
2    56    10 1
0    78    10 1
0    99    10 1
70   13    12 2
67   34    12 2
1    56    12 1
0    78    12 1
0    99    12 1
73   13    12 2
64   34    12 2
2    56    12 1
0    78    12 1
0    99    12 1
67   13    15 2
41   34    15 2
0    56    15 1
0    78    15 1
0    99    15 1
64   13    18 2
67   34    18 2
0    56    18 1
0    78    18 1
0    99    18 1
74   13    18 2
56   34    18 2
17   56    18 1
0    78    18 1
0    99    18 1
71   13    21 2
61   34    21 2
0    56    21 1
0    78    21 1
0    99    21 1
73   13    21 2
48   34    21 2
18   56    21 1
0    78    21 1
0    99    21 1
69   13    24 2
59   34    24 2
2    56    24 1
4    78    24 1
0    99    24 1
