BW      SF  PS   SNR  BER        RSSI          ToA
125000  10  90   0    0.000002  -117.0309002  0.2637822
125000  10  110  -40  0.521822  -157.0309002  0.2965502
125000  10  110  -30  0.533642  -147.0309002  0.2965502
125000  10  110  -20  0.143642  -137.0309002  0.2965502
125000  10  110  -10  0.000002  -127.0309002  0.2965502
125000  10  110  0    0.000002  -117.0309002  0.2965502
125000  11  10   -40  0.500002  -157.0309002  0.3309572
125000  11  10   -30  0.518182  -147.0309002  0.3309572
125000  11  10   -20  0.000002  -137.0309002  0.3309572
125000  11  10   -10  0.000002  -127.0309002  0.3309572
125000  11  10   0    0.000002  -117.0309002  0.3309572
125000  11  30   -40  0.512122  -157.0309002  0.3964932
125000  11  30   -30  0.448482  -147.0309002  0.3964932
125000  11  30   -20  0.000002  -137.0309002  0.3964932
125000  11  30   -10  0.000002  -127.0309002  0.3964932
125000  11  30   0    0.000002  -117.0309002  0.3964932
125000  11  50   -40  0.496362  -157.0309002  0.3964932
125000  11  50   -30  0.465452  -147.0309002  0.3964932
125000  11  50   -20  0.081822  -137.0309002  0.3964932
125000  11  50   -10  0.000002  -127.0309002  0.3964932
125000  11  50   0    0.000002  -117.0309002  0.3964932
125000  11  70   -40  0.522082  -157.0309002  0.4620292
125000  11  70   -30  0.479222  -147.0309002  0.4620292
125000  11  70   -20  0.002602  -137.0309002  0.4620292
125000  11  70   -10  0.000002  -127.0309002  0.4620292
125000  11  70   0    0.000002  -117.0309002  0.4620292
125000  11  90   -40  0.515152  -157.0309002  0.5275652
125000  11  90   -30  0.473742  -147.0309002  0.5275652
125000  11  90   -20  0.014142  -137.0309002  0.5275652
125000  11  90   -10  0.000002  -127.0309002  0.5275652
125000  11  90   0    0.000002  -117.0309002  0.5275652
125000  11  110  -40  0.487602  -157.0309002  0.5275652
125000  11  110  -30  0.481822  -147.0309002  0.5275652
125000  11  110  -20  0.051242  -137.0309002  0.5275652
125000  11  110  -10  0.000002  -127.0309002  0.5275652
125000  11  110  0    0.000002  -117.0309002  0.5275652
125000  12  10   -40  0.458332  -157.0309002  0.6619142
125000  12  10   -30  0.450002  -147.0309002  0.6619142
125000  12  10   -20  0.000002  -137.0309002  0.6619142
125000  12  10   -10  0.000002  -127.0309002  0.6619142
125000  12  10   0    0.000002  -117.0309002  0.6619142
125000  12  30   -40  0.511112  -157.0309002  0.7929862
125000  12  30   -30  0.461112  -147.0309002  0.7929862
125000  12  30   -20  0.000002  -137.0309002  0.7929862
125000  12  30   -10  0.000002  -127.0309002  0.7929862
125000  12  30   0    0.000002  -117.0309002  0.7929862
125000  12  50   -40  0.476672  -157.0309002  0.7929862
125000  12  50   -30  0.463332  -147.0309002  0.7929862
125000  12  50   -20  0.000002  -137.0309002  0.7929862
125000  12  50   -10  0.000002  -127.0309002  0.7929862
125000  12  50   0    0.000002  -117.0309002  0.7929862
125000  12  70   -40  0.508332  -157.0309002  0.9240582
125000  12  70   -30  0.421432  -147.0309002  0.9240582
125000  12  70   -20  0.033332  -137.0309002  0.9240582
125000  12  70   -10  0.000002  -127.0309002  0.9240582
125000  12  70   0    0.000002  -117.0309002  0.9240582
125000  12  90   -40  0.494442  -157.0309002  0.9240582
125000  12  90   -30  0.403702  -147.0309002  0.9240582
125000  12  90   -20  0.000002  -137.0309002  0.9240582
125000  12  90   -10  0.000002  -127.0309002  0.9240582
125000  12  90   0    0.000002  -117.0309002  0.9240582
125000  12  110  -40  0.489392  -157.0309002  1.0551302
125000  12  110  -30  0.429552  -147.0309002  1.0551302
125000  12  110  -20  0.000002  -137.0309002  1.0551302
125000  12  110  -10  0.000002  -127.0309002  1.0551302
125000  12  110  0    0.000002  -117.0309002  1.0551302
250000  7   10   -40  0.442862  -154.0206002  0.0123902
250000  7   10   -30  0.428572  -144.0206002  0.0123902
250000  7   10   -20  0.442862  -134.0206002  0.0123902
250000  7   10   -10  0.000002  -124.0206002  0.0123902
250000  7   10   0    0.000002  -114.0206002  0.0123902
250000  7   30   -40  0.480952  -154.0206002  0.0144382
250000  7   30   -30  0.504762  -144.0206002  0.0144382
250000  7   30   -20  0.466672  -134.0206002  0.0144382
250000  7   30   -10  0.033332  -124.0206002  0.0144382
250000  7   30   0    0.000002  -114.0206002  0.0144382
250000  7   50   -40  0.482862  -154.0206002  0.0164862
250000  7   50   -30  0.494292  -144.0206002  0.0164862
250000  7   50   -20  0.488572  -134.0206002  0.0164862
250000  7   50   -10  0.025712  -124.0206002  0.0164862
250000  7   50   0    0.000002  -114.0206002  0.0164862
250000  7   70   -40  0.502042  -154.0206002  0.0185342
250000  7   70   -30  0.508162  -144.0206002  0.0185342
250000  7   70   -20  0.448982  -134.0206002  0.0185342
250000  7   70   -10  0.010202  -124.0206002  0.0185342
250000  7   70   0    0.000002  -114.0206002  0.0185342
250000  7   90   -40  0.547622  -154.0206002  0.0205822
250000  7   90   -30  0.515872  -144.0206002  0.0205822
250000  7   90   -20  0.477782  -134.0206002  0.0205822
250000  7   90   -10  0.030162  -124.0206002  0.0205822
250000  7   90   0    0.000002  -114.0206002  0.0205822
250000  7   110  -40  0.488312  -154.0206002  0.0226302
250000  7   110  -30  0.470132  -144.0206002  0.0226302
250000  7   110  -20  0.457142  -134.0206002  0.0226302
250000  7   110  -10  0.009092  -124.0206002  0.0226302
250000  7   110  0    0.000002  -114.0206002  0.0226302
250000  8   10   -40  0.425002  -154.0206002  0.0247812
250000  8   10   -30  0.550002  -144.0206002  0.0247812
250000  8   10   -20  0.625002  -134.0206002  0.0247812
250000  8   10   -10  0.000002  -124.0206002  0.0247812
250000  8   10   0    0.000002  -114.0206002  0.0247812
250000  8   30   -40  0.466672  -154.0206002  0.0288772
250000  8   30   -30  0.520832  -144.0206002  0.0288772
250000  8   30   -20  0.354172  -134.0206002  0.0288772
250000  8   30   -10  0.000002  -124.0206002  0.0288772
250000  8   30   0    0.000002  -114.0206002  0.0288772
250000  8   50   -40  0.497502  -154.0206002  0.0288772
250000  8   50   -30  0.450002  -144.0206002  0.0288772
250000  8   50   -20  0.412502  -134.0206002  0.0288772
250000  8   50   -10  0.000002  -124.0206002  0.0288772
250000  8   50   0    0.000002  -114.0206002  0.0288772
250000  8   70   -40  0.485712  -154.0206002  0.0329732
250000  8   70   -30  0.464292  -144.0206002  0.0329732
250000  8   70   -20  0.417862  -134.0206002  0.0329732
250000  8   70   -10  0.000002  -124.0206002  0.0329732
250000  8   70   0    0.000002  -114.0206002  0.0329732
250000  8   90   -40  0.501392  -154.0206002  0.0370692
250000  8   90   -30  0.465282  -144.0206002  0.0370692
250000  8   90   -20  0.398612  -134.0206002  0.0370692
250000  8   90   -10  0.000002  -124.0206002  0.0370692
250000  8   90   0    0.000002  -114.0206002  0.0370692
250000  8   110  -40  0.512502  -154.0206002  0.0411652
250000  8   110  -30  0.518182  -144.0206002  0.0411652
250000  8   110  -20  0.457952  -134.0206002  0.0411652
250000  8   110  -10  0.000002  -124.0206002  0.0411652
250000  8   110  0    0.000002  -114.0206002  0.0411652
250000  9   10   -40  0.533332  -154.0206002  0.0495622
250000  9   10   -30  0.500002  -144.0206002  0.0495622
250000  9   10   -20  0.311112  -134.0206002  0.0495622
250000  9   10   -10  0.000002  -124.0206002  0.0495622
250000  9   10   0    0.000002  -114.0206002  0.0495622
250000  9   30   -40  0.503702  -154.0206002  0.0495622
250000  9   30   -30  0.488892  -144.0206002  0.0495622
250000  9   30   -20  0.322222  -134.0206002  0.0495622
250000  9   30   -10  0.000002  -124.0206002  0.0495622
250000  9   30   0    0.000002  -114.0206002  0.0495622
250000  9   50   -40  0.537782  -154.0206002  0.0577542
250000  9   50   -30  0.473332  -144.0206002  0.0577542
250000  9   50   -20  0.315562  -134.0206002  0.0577542
250000  9   50   -10  0.000002  -124.0206002  0.0577542
250000  9   50   0    0.000002  -114.0206002  0.0577542
250000  9   70   -40  0.519052  -154.0206002  0.0659462
250000  9   70   -30  0.490482  -144.0206002  0.0659462
250000  9   70   -20  0.328572  -134.0206002  0.0659462
