BW      SF  PS   SNR  BER        RSSI          ToA
500000  11  70   0    0.000002  -111.0103002  0.1155072
500000  11  90   -40  0.496972  -151.0103002  0.1318912
500000  11  90   -30  0.474752  -141.0103002  0.1318912
500000  11  90   -20  0.012122  -131.0103002  0.1318912
500000  11  90   -10  0.000002  -121.0103002  0.1318912
500000  11  90   0    0.000002  -111.0103002  0.1318912
500000  11  110  -40  0.511572  -151.0103002  0.1318912
500000  11  110  -30  0.454552  -141.0103002  0.1318912
500000  11  110  -20  0.020662  -131.0103002  0.1318912
500000  11  110  -10  0.000002  -121.0103002  0.1318912
500000  11  110  0    0.000002  -111.0103002  0.1318912
500000  12  10   -40  0.475002  -151.0103002  0.1654782
500000  12  10   -30  0.291672  -141.0103002  0.1654782
500000  12  10   -20  0.000002  -131.0103002  0.1654782
500000  12  10   -10  0.000002  -121.0103002  0.1654782
500000  12  10   0    0.000002  -111.0103002  0.1654782
500000  12  30   -40  0.452782  -151.0103002  0.1982462
500000  12  30   -30  0.469442  -141.0103002  0.1982462
500000  12  30   -20  0.000002  -131.0103002  0.1982462
500000  12  30   -10  0.000002  -121.0103002  0.1982462
500000  12  30   0    0.000002  -111.0103002  0.1982462
500000  12  50   -40  0.521672  -151.0103002  0.1982462
500000  12  50   -30  0.393332  -141.0103002  0.1982462
500000  12  50   -20  0.121672  -131.0103002  0.1982462
500000  12  50   -10  0.000002  -121.0103002  0.1982462
500000  12  50   0    0.000002  -111.0103002  0.1982462
500000  12  70   -40  0.503572  -151.0103002  0.2310142
500000  12  70   -30  0.429762  -141.0103002  0.2310142
500000  12  70   -20  0.000002  -131.0103002  0.2310142
500000  12  70   -10  0.000002  -121.0103002  0.2310142
500000  12  70   0    0.000002  -111.0103002  0.2310142
500000  12  90   -40  0.516672  -151.0103002  0.2310142
500000  12  90   -30  0.339812  -141.0103002  0.2310142
500000  12  90   -20  0.126852  -131.0103002  0.2310142
500000  12  90   -10  0.000002  -121.0103002  0.2310142
500000  12  90   0    0.000002  -111.0103002  0.2310142
500000  12  110  -40  0.483332  -151.0103002  0.2637822
500000  12  110  -30  0.413642  -141.0103002  0.2637822
500000  12  110  -20  0.014392  -131.0103002  0.2637822
500000  12  110  -10  0.029552  -121.0103002  0.2637822
500000  12  110  0    0.000002  -111.0103002  0.2637822
