type	latitude	longitude	altitude (m)	name
W	48.433699606	-4.532632828	84.7	Px1y1
W	48.433699606	-4.530916214	81.0	Px2y1
W	48.433699606	-4.529199600	81.0	Px3y1
W	48.433699606	-4.527482986	78.9	Px4y1
W	48.433699606	-4.525766373	73.0	Px5y1
W	48.433699606	-4.524049759	76.2	Px6y1
W	48.433699606	-4.522333145	80.0	Px7y1
W	48.433699606	-4.520616531	78.8	Px8y1
W	48.433699606	-4.518899918	71.7	Px9y1
W	48.433699606	-4.517183304	75.8	Px10y1
W	48.433699606	-4.515466690	64.1	Px11y1
W	48.433699606	-4.513750076	63.5	Px12y1
W	48.433699606	-4.512033463	67.2	Px13y1
W	48.433699606	-4.510316849	66.3	Px14y1
W	48.433699606	-4.508600235	66.3	Px15y1
W	48.433699606	-4.506883621	68.1	Px16y1
W	48.433699606	-4.505167007	62.3	Px17y1
W	48.433699606	-4.503450394	58.0	Px18y1
W	48.433699606	-4.501733780	52.5	Px19y1
W	48.433699606	-4.500017166	54.6	Px20y1
W	48.433699606	-4.498300552	66.8	Px21y1
W	48.433699606	-4.496583939	68.8	Px22y1
W	48.433699606	-4.494867325	70.9	Px23y1
W	48.433699606	-4.493150711	71.4	Px24y1
W	48.433699606	-4.491434097	70.6	Px25y1
W	48.433699606	-4.489717484	74.0	Px26y1
W	48.433699606	-4.488000870	73.7	Px27y1
W	48.433699606	-4.486284256	75.0	Px28y1
W	48.433699606	-4.484567642	78.3	Px29y1
W	48.433699606	-4.482851028	81.9	Px30y1
W	48.433699606	-4.481134415	82.4	Px31y1
W	48.433699606	-4.479417801	79.7	Px32y1
W	48.433699606	-4.477701187	80.2	Px33y1
W	48.433699606	-4.475984573	74.0	Px34y1
W	48.433699606	-4.474267960	78.7	Px35y1
W	48.433699606	-4.472551346	83.4	Px36y1
W	48.433699606	-4.470834732	90.4	Px37y1
W	48.433699606	-4.469118118	92.7	Px38y1
W	48.433699606	-4.467401505	92.5	Px39y1
W	48.432560643	-4.532632828	86.8	Px1y2
W	48.432560643	-4.530916214	82.4	Px2y2
W	48.432560643	-4.529199600	82.9	Px3y2
W	48.432560643	-4.527482986	78.6	Px4y2
W	48.432560643	-4.525766373	75.0	Px5y2
W	48.432560643	-4.524049759	76.8	Px6y2
W	48.432560643	-4.522333145	79.6	Px7y2
W	48.432560643	-4.520616531	78.2	Px8y2
W	48.432560643	-4.518899918	74.4	Px9y2
W	48.432560643	-4.517183304	72.1	Px10y2
W	48.432560643	-4.515466690	66.6	Px11y2
W	48.432560643	-4.513750076	64.2	Px12y2
W	48.432560643	-4.512033463	65.4	Px13y2
W	48.432560643	-4.510316849	63.2	Px14y2
W	48.432560643	-4.508600235	62.3	Px15y2
W	48.432560643	-4.506883621	69.3	Px16y2
W	48.432560643	-4.505167007	63.8	Px17y2
W	48.432560643	-4.503450394	54.9	Px18y2
W	48.432560643	-4.501733780	61.8	Px19y2
W	48.432560643	-4.500017166	56.8	Px20y2
W	48.432560643	-4.498300552	63.2	Px21y2
W	48.432560643	-4.496583939	70.1	Px22y2
W	48.432560643	-4.494867325	70.0	Px23y2
W	48.432560643	-4.493150711	68.5	Px24y2
W	48.432560643	-4.491434097	69.2	Px25y2
W	48.432560643	-4.489717484	73.0	Px26y2
W	48.432560643	-4.488000870	77.2	Px27y2
W	48.432560643	-4.486284256	82.2	Px28y2
W	48.432560643	-4.484567642	83.7	Px29y2
W	48.432560643	-4.482851028	85.4	Px30y2
W	48.432560643	-4.481134415	81.4	Px31y2
W	48.432560643	-4.479417801	78.9	Px32y2
W	48.432560643	-4.477701187	76.9	Px33y2
W	48.432560643	-4.475984573	73.8	Px34y2
W	48.432560643	-4.474267960	77.6	Px35y2
W	48.432560643	-4.472551346	83.0	Px36y2
W	48.432560643	-4.470834732	88.2	Px37y2
W	48.432560643	-4.469118118	90.3	Px38y2
W	48.432560643	-4.467401505	95.3	Px39y2
W	48.431421656	-4.532632828	83.1	Px1y3
W	48.431421656	-4.530916214	83.4	Px2y3
W	48.431421656	-4.529199600	87.0	Px3y3
W	48.431421656	-4.527482986	80.9	Px4y3
W	48.431421656	-4.525766373	77.2	Px5y3
W	48.431421656	-4.524049759	81.1	Px6y3
W	48.431421656	-4.522333145	82.3	Px7y3
W	48.431421656	-4.520616531	77.1	Px8y3
W	48.431421656	-4.518899918	75.0	Px9y3
W	48.431421656	-4.517183304	73.0	Px10y3
W	48.431421656	-4.515466690	71.8	Px11y3
W	48.431421656	-4.513750076	71.4	Px12y3
W	48.431421656	-4.512033463	64.5	Px13y3
W	48.431421656	-4.510316849	61.9	Px14y3
W	48.431421656	-4.508600235	66.9	Px15y3
W	48.431421656	-4.506883621	65.8	Px16y3
W	48.431421656	-4.505167007	65.3	Px17y3
W	48.431421656	-4.503450394	53.0	Px18y3
W	48.431421656	-4.501733780	57.6	Px19y3
W	48.431421656	-4.500017166	63.6	Px20y3
W	48.431421656	-4.498300552	66.9	Px21y3
W	48.431421656	-4.496583939	71.0	Px22y3
W	48.431421656	-4.494867325	70.6	Px23y3
W	48.431421656	-4.493150711	65.2	Px24y3
W	48.431421656	-4.491434097	66.7	Px25y3
W	48.431421656	-4.489717484	70.0	Px26y3
W	48.431421656	-4.488000870	76.0	Px27y3
W	48.431421656	-4.486284256	80.0	Px28y3
W	48.431421656	-4.484567642	82.1	Px29y3
W	48.431421656	-4.482851028	85.7	Px30y3
W	48.431421656	-4.481134415	86.9	Px31y3
W	48.431421656	-4.479417801	83.7	Px32y3
W	48.431421656	-4.477701187	85.7	Px33y3
W	48.431421656	-4.475984573	80.3	Px34y3
