type	latitude	longitude	altitude (m)	name
W	16.384708649	-61.840667725	0.0	Px1y1
W	16.384708649	-61.828994751	0.0	Px2y1
W	16.384708649	-61.817321777	0.0	Px3y1
W	16.384708649	-61.805648804	0.0	Px4y1
W	16.384708649	-61.793975830	0.0	Px5y1
W	16.384708649	-61.782302856	0.0	Px6y1
W	16.384708649	-61.770629883	0.0	Px7y1
W	16.384708649	-61.758956909	0.0	Px8y1
W	16.384708649	-61.747283936	0.0	Px9y1
W	16.384708649	-61.735610962	0.0	Px10y1
W	16.384708649	-61.723937988	0.0	Px11y1
W	16.384708649	-61.712265015	0.0	Px12y1
W	16.384708649	-61.700592041	0.0	Px13y1
W	16.384708649	-61.688919067	0.0	Px14y1
W	16.384708649	-61.677246094	0.0	Px15y1
W	16.384708649	-61.665573120	0.0	Px16y1
W	16.384708649	-61.653900146	0.0	Px17y1
W	16.384708649	-61.642227173	0.0	Px18y1
W	16.384708649	-61.630554199	0.0	Px19y1
W	16.384708649	-61.618881226	0.0	Px20y1
W	16.384708649	-61.607208252	0.0	Px21y1
W	16.384708649	-61.595535278	0.0	Px22y1
W	16.384708649	-61.583862305	0.0	Px23y1
W	16.384708649	-61.572189331	0.0	Px24y1
W	16.384708649	-61.560516357	0.0	Px25y1
W	16.384708649	-61.548843384	0.0	Px26y1
W	16.384708649	-61.537170410	0.0	Px27y1
W	16.384708649	-61.525497437	0.0	Px28y1
W	16.384708649	-61.513824463	0.0	Px29y1
W	16.384708649	-61.502151489	0.3	Px30y1
W	16.384708649	-61.490478516	21.3	Px31y1
W	16.384708649	-61.478805542	16.6	Px32y1
W	16.384708649	-61.467132568	34.5	Px33y1
W	16.384708649	-61.455459595	39.8	Px34y1
W	16.384708649	-61.443786621	43.0	Px35y1
W	16.384708649	-61.432113647	47.2	Px36y1
W	16.384708649	-61.420440674	44.8	Px37y1
W	16.384708649	-61.408767700	56.8	Px38y1
W	16.384708649	-61.397094727	0.0	Px39y1
W	16.384708649	-61.385421753	0.0	Px40y1
W	16.384708649	-61.373748779	0.0	Px41y1
W	16.384708649	-61.362075806	0.0	Px42y1
W	16.384708649	-61.350402832	0.0	Px43y1
W	16.384708649	-61.338729858	0.0	Px44y1
W	16.384708649	-61.327056885	0.0	Px45y1
W	16.384708649	-61.315383911	0.0	Px46y1
W	16.373509401	-61.840667725	0.0	Px1y2
W	16.373509401	-61.828994751	0.0	Px2y2
W	16.373509401	-61.817321777	0.0	Px3y2
W	16.373509401	-61.805648804	0.0	Px4y2
W	16.373509401	-61.793975830	0.0	Px5y2
W	16.373509401	-61.782302856	0.0	Px6y2
W	16.373509401	-61.770629883	0.0	Px7y2
W	16.373509401	-61.758956909	0.0	Px8y2
W	16.373509401	-61.747283936	0.0	Px9y2
W	16.373509401	-61.735610962	0.0	Px10y2
W	16.373509401	-61.723937988	0.0	Px11y2
W	16.373509401	-61.712265015	0.0	Px12y2
W	16.373509401	-61.700592041	0.0	Px13y2
W	16.373509401	-61.688919067	0.0	Px14y2
W	16.373509401	-61.677246094	0.0	Px15y2
W	16.373509401	-61.665573120	0.0	Px16y2
W	16.373509401	-61.653900146	0.0	Px17y2
W	16.373509401	-61.642227173	0.0	Px18y2
W	16.373509401	-61.630554199	0.0	Px19y2
W	16.373509401	-61.618881226	0.0	Px20y2
W	16.373509401	-61.607208252	0.0	Px21y2
W	16.373509401	-61.595535278	0.0	Px22y2
W	16.373509401	-61.583862305	0.0	Px23y2
W	16.373509401	-61.572189331	0.0	Px24y2
W	16.373509401	-61.560516357	0.0	Px25y2
W	16.373509401	-61.548843384	0.0	Px26y2
W	16.373509401	-61.537170410	0.0	Px27y2
W	16.373509401	-61.525497437	0.0	Px28y2
W	16.373509401	-61.513824463	0.0	Px29y2
W	16.373509401	-61.502151489	0.0	Px30y2
W	16.373509401	-61.490478516	5.2	Px31y2
W	16.373509401	-61.478805542	13.3	Px32y2
W	16.373509401	-61.467132568	22.5	Px33y2
W	16.373509401	-61.455459595	42.1	Px34y2
W	16.373509401	-61.443786621	36.1	Px35y2
W	16.373509401	-61.432113647	48.9	Px36y2
W	16.373509401	-61.420440674	47.6	Px37y2
W	16.373509401	-61.408767700	56.5	Px38y2
