type	latitude	longitude	altitude (m)	name
W	47.720271767	-3.398122787	35.0	Px1y1
W	47.720271767	-3.395977020	33.0	Px2y1
W	47.720271767	-3.393831253	29.8	Px3y1
W	47.720271767	-3.391685486	23.2	Px4y1
W	47.720271767	-3.389539719	23.7	Px5y1
W	47.720271767	-3.387393951	24.4	Px6y1
W	47.720271767	-3.385248184	20.0	Px7y1
W	47.720271767	-3.383102417	21.8	Px8y1
W	47.720271767	-3.380956650	16.9	Px9y1
W	47.720271767	-3.378810883	12.0	Px10y1
W	47.720271767	-3.376665115	6.0	Px11y1
W	47.720271767	-3.374519348	2.8	Px12y1
W	47.720271767	-3.372373581	0.0	Px13y1
W	47.720271767	-3.370227814	0.0	Px14y1
W	47.720271767	-3.368082047	-2.0	Px15y1
W	47.720271767	-3.365936279	0.0	Px16y1
W	47.720271767	-3.363790512	0.0	Px17y1
W	47.720271767	-3.361644745	0.0	Px18y1
W	47.720271767	-3.359498978	0.0	Px19y1
W	47.720271767	-3.357353210	0.0	Px20y1
W	47.720271767	-3.355207443	0.0	Px21y1
W	47.720271767	-3.353061676	0.0	Px22y1
W	47.720271767	-3.350915909	0.0	Px23y1
W	47.720271767	-3.348770142	0.0	Px24y1
W	47.720271767	-3.346624374	0.0	Px25y1
W	47.720271767	-3.344478607	0.0	Px26y1
W	47.720271767	-3.342332840	12.2	Px27y1
W	47.720271767	-3.340187073	12.3	Px28y1
W	47.720271767	-3.338041306	14.1	Px29y1
W	47.720271767	-3.335895538	16.0	Px30y1
W	47.720271767	-3.333749771	15.0	Px31y1
W	47.718828181	-3.398122787	33.6	Px1y2
W	47.718828181	-3.395977020	29.6	Px2y2
W	47.718828181	-3.393831253	32.2	Px3y2
W	47.718828181	-3.391685486	25.8	Px4y2
W	47.718828181	-3.389539719	24.6	Px5y2
W	47.718828181	-3.387393951	32.1	Px6y2
W	47.718828181	-3.385248184	27.9	Px7y2
W	47.718828181	-3.383102417	23.2	Px8y2
W	47.718828181	-3.380956650	15.4	Px9y2
W	47.718828181	-3.378810883	10.2	Px10y2
W	47.718828181	-3.376665115	11.8	Px11y2
W	47.718828181	-3.374519348	5.8	Px12y2
W	47.718828181	-3.372373581	2.1	Px13y2
W	47.718828181	-3.370227814	2.0	Px14y2
W	47.718828181	-3.368082047	4.1	Px15y2
W	47.718828181	-3.365936279	0.0	Px16y2
W	47.718828181	-3.363790512	0.0	Px17y2
W	47.718828181	-3.361644745	0.0	Px18y2
W	47.718828181	-3.359498978	0.0	Px19y2
W	47.718828181	-3.357353210	0.0	Px20y2
W	47.718828181	-3.355207443	0.0	Px21y2
W	47.718828181	-3.353061676	0.0	Px22y2
W	47.718828181	-3.350915909	0.0	Px23y2
W	47.718828181	-3.348770142	0.0	Px24y2
W	47.718828181	-3.346624374	0.0	Px25y2
W	47.718828181	-3.344478607	0.0	Px26y2
W	47.718828181	-3.342332840	5.1	Px27y2
W	47.718828181	-3.340187073	7.4	Px28y2
W	47.718828181	-3.338041306	10.1	Px29y2
W	47.718828181	-3.335895538	13.2	Px30y2
W	47.718828181	-3.333749771	12.0	Px31y2
W	47.717384554	-3.398122787	27.7	Px1y3
W	47.717384554	-3.395977020	29.1	Px2y3
W	47.717384554	-3.393831253	30.2	Px3y3
W	47.717384554	-3.391685486	25.0	Px4y3
W	47.717384554	-3.389539719	23.6	Px5y3
W	47.717384554	-3.387393951	29.4	Px6y3
W	47.717384554	-3.385248184	27.5	Px7y3
W	47.717384554	-3.383102417	19.5	Px8y3
W	47.717384554	-3.380956650	14.4	Px9y3
W	47.717384554	-3.378810883	11.6	Px10y3
W	47.717384554	-3.376665115	12.0	Px11y3
W	47.717384554	-3.374519348	6.3	Px12y3
W	47.717384554	-3.372373581	1.1	Px13y3
W	47.717384554	-3.370227814	6.1	Px14y3
W	47.717384554	-3.368082047	7.0	Px15y3
W	47.717384554	-3.365936279	0.0	Px16y3
W	47.717384554	-3.363790512	0.0	Px17y3
W	47.717384554	-3.361644745	0.0	Px18y3
W	47.717384554	-3.359498978	0.0	Px19y3
W	47.717384554	-3.357353210	0.0	Px20y3
W	47.717384554	-3.355207443	0.0	Px21y3
W	47.717384554	-3.353061676	0.0	Px22y3
W	47.717384554	-3.350915909	0.0	Px23y3
W	47.717384554	-3.348770142	0.0	Px24y3
W	47.717384554	-3.346624374	0.0	Px25y3
W	47.717384554	-3.344478607	0.0	Px26y3
W	47.717384554	-3.342332840	-0.8	Px27y3
W	47.717384554	-3.340187073	1.5	Px28y3
W	47.717384554	-3.338041306	11.1	Px29y3
W	47.717384554	-3.335895538	15.3	Px30y3
W	47.717384554	-3.333749771	10.8	Px31y3
W	47.715940888	-3.398122787	24.9	Px1y4
W	47.715940888	-3.395977020	30.2	Px2y4
W	47.715940888	-3.393831253	28.0	Px3y4
W	47.715940888	-3.391685486	24.0	Px4y4
W	47.715940888	-3.389539719	19.0	Px5y4
W	47.715940888	-3.387393951	27.2	Px6y4
W	47.715940888	-3.385248184	23.1	Px7y4
W	47.715940888	-3.383102417	16.2	Px8y4
W	47.715940888	-3.380956650	14.2	Px9y4
W	47.715940888	-3.378810883	11.0	Px10y4
W	47.715940888	-3.376665115	11.4	Px11y4
W	47.715940888	-3.374519348	7.6	Px12y4
W	47.715940888	-3.372373581	5.4	Px13y4
W	47.715940888	-3.370227814	7.1	Px14y4
W	47.715940888	-3.368082047	3.4	Px15y4
W	47.715940888	-3.365936279	0.0	Px16y4
W	47.715940888	-3.363790512	0.0	Px17y4
W	47.715940888	-3.361644745	0.0	Px18y4
W	47.715940888	-3.359498978	0.0	Px19y4
W	47.715940888	-3.357353210	0.0	Px20y4
W	47.715940888	-3.355207443	0.0	Px21y4
