type	latitude	longitude	altitude (m)	name
W	48.491582191	-5.147781372	0.0	Px1y1
W	48.491582191	-5.142631531	0.0	Px2y1
W	48.491582191	-5.137481689	0.0	Px3y1
W	48.491582191	-5.132331848	0.0	Px4y1
W	48.491582191	-5.127182007	0.0	Px5y1
W	48.491582191	-5.122032166	0.0	Px6y1
W	48.491582191	-5.116882324	0.0	Px7y1
W	48.491582191	-5.111732483	0.0	Px8y1
W	48.491582191	-5.106582642	0.0	Px9y1
W	48.491582191	-5.101432800	0.0	Px10y1
W	48.491582191	-5.096282959	0.0	Px11y1
W	48.491582191	-5.091133118	0.0	Px12y1
W	48.491582191	-5.085983276	0.0	Px13y1
W	48.491582191	-5.080833435	0.0	Px14y1
W	48.491582191	-5.075683594	0.0	Px15y1
W	48.491582191	-5.070533752	0.0	Px16y1
W	48.491582191	-5.065383911	0.0	Px17y1
W	48.491582191	-5.060234070	0.0	Px18y1
W	48.491582191	-5.055084229	0.0	Px19y1
W	48.491582191	-5.049934387	0.0	Px20y1
W	48.491582191	-5.044784546	0.0	Px21y1
W	48.491582191	-5.039634705	0.0	Px22y1
W	48.491582191	-5.034484863	0.0	Px23y1
W	48.491582191	-5.029335022	0.0	Px24y1
W	48.491582191	-5.024185181	0.0	Px25y1
W	48.491582191	-5.019035339	0.0	Px26y1
W	48.491582191	-5.013885498	0.0	Px27y1
W	48.491582191	-5.008735657	0.0	Px28y1
W	48.491582191	-5.003585815	0.0	Px29y1
W	48.491582191	-4.998435974	0.0	Px30y1
W	48.491582191	-4.993286133	0.0	Px31y1
W	48.491582191	-4.988136292	0.0	Px32y1
W	48.491582191	-4.982986450	0.0	Px33y1
W	48.491582191	-4.977836609	0.0	Px34y1
W	48.491582191	-4.972686768	0.0	Px35y1
W	48.491582191	-4.967536926	0.0	Px36y1
W	48.491582191	-4.962387085	0.0	Px37y1
W	48.491582191	-4.957237244	0.0	Px38y1
W	48.491582191	-4.952087402	0.0	Px39y1
W	48.491582191	-4.946937561	0.0	Px40y1
W	48.491582191	-4.941787720	0.0	Px41y1
W	48.491582191	-4.936637878	0.0	Px42y1
W	48.491582191	-4.931488037	0.0	Px43y1
W	48.491582191	-4.926338196	0.0	Px44y1
W	48.491582191	-4.921188354	0.0	Px45y1
